       	ALOX5  	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCR3   	0.0089143	0.010592	0.021621	0.024025	0.020808	0.023996	0.029329	0.024424	0.022936	0.029329	0.02364	0.027306	0.026707	0.017647	0.010515	0.010592	0.015458	0.0089143	0	0	0.0080462	0.016024	0.015158	0.030087	0.01417	0.016855	0.013776	0.016193	0.015916	0.016304	0.016306	0.01562	0.01562	0.01565	0.011669	0.015544	0.011943	0.01506	0.013469	0.015416	0.016988	0.012842	0.016054	0.016239	0.015766	0.016241	0.015997	0.016348	0.012781	0.012781	0	0.01092	0.017192	0.0036262	0.0084758	0.013979	0.0099531	0	0	0.014651	0.0080248	0.014022	0.016876	0.015458	0.015899	0.010783	0.0048877	0.017638                                                      
CCR4   	0.0075609	0.0086289	0.024287	0.028392	0.023098	0.028376	0.03719	0.025125	0.026591	0.03719	0.027306	0.033928	0.032314	0.017557	0.0085554	0.010955	0.01478	0.0075609	0	0	0.0065305	0.015476	0.014222	0.038466	0.012975	0.016648	0.012096	0.01555	0.014846	0.015664	0.015688	0.014131	0.014131	0.014789	0.0092142	0.014159	0.009476	0.013933	0.011472	0.014367	0.016347	0.010676	0.014221	0.015784	0.014682	0.015561	0.014062	0.01549	0.011178	0.011178	0	0.0091181	0.017774	0.0023939	0.0065762	0.013226	0.0085794	0	0	0.013765	0.0063023	0.012882	0.016486	0.014466	0.015135	0.0089402	0.0032458	0.018706                                               
CCR8   	0.0076394	0.0088876	0.02372	0.027425	0.022585	0.027367	0.035343	0.027518	0.02573	0.035343	0.026707	0.032314	0.031333	0.017431	0.0088573	0.010699	0.014852	0.0076394	0	0	0.0069504	0.015576	0.014453	0.036475	0.013158	0.016676	0.012308	0.015674	0.015165	0.015826	0.015817	0.014626	0.014626	0.014959	0.0095117	0.014459	0.0097653	0.014135	0.01172	0.014578	0.016442	0.010944	0.014535	0.015991	0.014979	0.015674	0.014291	0.015599	0.011462	0.011462	0	0.0094761	0.017526	0.0026761	0.0068649	0.013336	0.0093578	0	0	0.013875	0.0066109	0.01306	0.016806	0.014691	0.015206	0.009341	0.0035444	0.018401                                              
CD40LG 	0.0098277	0.013295	0.017511	0.017265	0.017781	0.017603	0.017078	0.016154	0.019127	0.017078	0.017647	0.017557	0.017431	0.030094	0.01098	0.0068018	0.016399	0.0098277	0	0	0.0068317	0.018334	0.017066	0.017465	0.023276	0.018599	0.017093	0.019181	0.017804	0.017862	0.017004	0.016056	0.016056	0.017415	0.011933	0.017673	0.01185	0.018132	0.013791	0.017599	0.019431	0.012986	0.017993	0.016535	0.017115	0.016907	0.018284	0.017305	0.013396	0.013396	0	0.022481	0.017206	0.0024319	0.024275	0.014206	0.0091524	0	0	0.016563	0.0097626	0.015273	0.016934	0.018145	0.018542	0.011495	0.0046995	0.015006                                                 
CMA1   	0.013793	0.030501	0.011136	0.010537	0.011932	0.010545	0.007724	0.010059	0.010783	0.007724	0.010515	0.0085554	0.0088573	0.01098	0.12877	0.0086885	0.023225	0.013793	0	0	0.0070367	0.015447	0.012608	0.0073305	0.011455	0.014267	0.0085566	0.013461	0.012814	0.012451	0.013131	0.012965	0.012965	0.012334	0.0063925	0.013121	0.0066068	0.015239	0.0086033	0.014758	0.014057	0.0077197	0.015402	0.017036	0.016782	0.01326	0.014218	0.013749	0.074425	0.074425	0	0.0087222	0.0092931	0.0025168	0.0056693	0.0093025	0.0049322	0	0	0.010624	0.0050058	0.045087	0.012507	0.015378	0.01065	0.0093572	0.0033128	0.016901                                        
CRLF2  	0.0032785	0.0080785	0.011026	0.016663	0.010249	0.016478	0.011071	0.0081945	0.0099509	0.011071	0.010592	0.010955	0.010699	0.0068018	0.0086885	0.42659	0.0087738	0.0032785	0	0	0.0039565	0.0087357	0.0083455	0.0091381	0.0061564	0.0089594	0.0048422	0.008363	0.0076233	0.008132	0.012148	0.0086101	0.0086101	0.0080135	0.0054049	0.0082642	0.0063025	0.0081332	0.0075521	0.0082671	0.0087836	0.0073333	0.008335	0.010985	0.0096466	0.012067	0.0077179	0.0089326	0.0092296	0.0092296	0	0.0046088	0.0064195	0.001308	0.0026788	0.0053127	0.0033418	0	0	0.0057772	0.0030651	0.015819	0.0089523	0.008239	0.0072579	0.0050309	0.0016193	0.080312             
CSF2   	0.038349	0.016069	0.015749	0.015126	0.015861	0.015159	0.014379	0.014832	0.015695	0.014379	0.015458	0.01478	0.014852	0.016399	0.023225	0.0087738	0.020739	0.038349	0	0	0.0083346	0.015823	0.015243	0.014324	0.014546	0.016156	0.013644	0.01622	0.015684	0.015613	0.016238	0.015948	0.015948	0.015553	0.013678	0.015987	0.01412	0.016193	0.015344	0.016738	0.018065	0.01467	0.020452	0.01612	0.016517	0.016718	0.021293	0.01783	0.021874	0.021874	0	0.011733	0.014539	0.0038362	0.0094671	0.013223	0.0087797	0	0	0.014275	0.0089356	0.018672	0.015417	0.015806	0.015559	0.012794	0.0068246	0.015214                                                      
CSF3R  	0.028224	0.0076992	0.0094697	0.0081962	0.011062	0.0082224	0.0065796	0.0071438	0.010773	0.0065796	0.0089143	0.0075609	0.0076394	0.0098277	0.013793	0.0032785	0.038349	0.3961	0	0	0.0038362	0.0091943	0.0089356	0.0067445	0.0077173	0.010862	0.0061889	0.011355	0.0083253	0.0089711	0.011082	0.0083736	0.0083736	0.0087772	0.0057853	0.0086259	0.0065155	0.0097599	0.0084226	0.013106	0.015002	0.0073189	0.018656	0.01093	0.010277	0.012139	0.019605	0.014616	0.018402	0.018402	0	0.0051639	0.0073471	0.0012411	0.0034141	0.0057501	0.0032761	0	0	0.0064461	0.0033945	0.014008	0.0087797	0.0089908	0.008466	0.0068246	0.0024071	0.0087738                
CYSLTR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
EPX    	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0.31674	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FCER1A 	0.0038362	0.0053967	0.0083929	0.0079545	0.0082089	0.0070957	0.0061783	0.0097027	0.0070527	0.0061783	0.0080462	0.0065305	0.0069504	0.0068317	0.0070367	0.0039565	0.0083346	0.0038362	0	0	0.25143	0.007843	0.0085937	0.00588	0.0072623	0.0081027	0.005717	0.0080866	0.0096681	0.0088992	0.0087797	0.010619	0.010619	0.0084209	0.0048785	0.010172	0.0048965	0.0086375	0.0060919	0.0092127	0.0089576	0.0055891	0.01024	0.017313	0.0095186	0.0084517	0.0074837	0.0088249	0.0093952	0.0093952	0	0.0090808	0.0070666	0.27745	0.005365	0.0095477	0.0042036	0	0	0.0073194	0.0040354	0.0077991	0.0089455	0.0088415	0.0070577	0.0097213	0.0047298	0.0083368       
FOXP3  	0.0091943	0.019295	0.01633	0.015905	0.016763	0.01611	0.015014	0.015903	0.016479	0.015014	0.016024	0.015476	0.015576	0.018334	0.015447	0.0087357	0.015823	0.0091943	0	0	0.007843	0.018433	0.017743	0.014838	0.018698	0.017602	0.016922	0.01788	0.018569	0.017874	0.017001	0.017365	0.017365	0.018126	0.013899	0.018348	0.013284	0.018231	0.014631	0.017205	0.016787	0.014179	0.016117	0.016711	0.017469	0.016519	0.015921	0.016475	0.01602	0.01602	0	0.017672	0.019301	0.0031763	0.017537	0.020135	0.013048	0	0	0.021016	0.015863	0.017205	0.017256	0.018505	0.018882	0.013326	0.0069766	0.01541                                                        
GATA3  	0.0089356	0.014176	0.01567	0.014938	0.015836	0.015059	0.013673	0.015534	0.015242	0.013673	0.015158	0.014222	0.014453	0.017066	0.012608	0.0083455	0.015243	0.0089356	0	0	0.0085937	0.017743	0.023377	0.013417	0.016633	0.017157	0.016597	0.017639	0.01806	0.017445	0.017143	0.017906	0.017906	0.017302	0.014855	0.018285	0.014719	0.016946	0.015617	0.016625	0.016468	0.015407	0.016245	0.016208	0.017334	0.016677	0.016091	0.016329	0.014163	0.014163	0	0.013949	0.016407	0.0040354	0.012307	0.015504	0.01421	0	0	0.017397	0.062779	0.015519	0.017391	0.017952	0.017762	0.01225	0.0059673	0.014751                                                     
GPR44  	0.0067445	0.0073754	0.025935	0.031192	0.024441	0.031157	0.042902	0.027147	0.029089	0.042902	0.030087	0.038466	0.036475	0.017465	0.0073305	0.0091381	0.014324	0.0067445	0	0	0.00588	0.014838	0.013417	0.045824	0.012102	0.01635	0.010812	0.014906	0.013856	0.014965	0.015097	0.012955	0.012955	0.013934	0.0079019	0.013061	0.0082545	0.013038	0.010327	0.013597	0.016008	0.0094841	0.01341	0.01544	0.013783	0.015079	0.013138	0.0149	0.010121	0.010121	0	0.0081629	0.017443	0.0019759	0.0056394	0.012013	0.0073712	0	0	0.012525	0.0053004	0.011925	0.016114	0.013548	0.014086	0.0080804	0.0026947	0.01865                                               
ICOS   	0.0077173	0.0175	0.014557	0.013794	0.015105	0.014144	0.012233	0.013713	0.014974	0.012233	0.01417	0.012975	0.013158	0.023276	0.011455	0.0061564	0.014546	0.0077173	0	0	0.0072623	0.018698	0.016633	0.012102	0.032309	0.017484	0.016036	0.018286	0.017609	0.01702	0.015703	0.015486	0.015486	0.016935	0.011382	0.017655	0.010905	0.01914	0.012549	0.016651	0.016363	0.011926	0.015007	0.016442	0.016278	0.015351	0.014641	0.015386	0.013249	0.013249	0	0.052101	0.015737	0.0027731	0.067389	0.014722	0.0094253	0	0	0.017308	0.01072	0.01539	0.015998	0.018709	0.017172	0.011507	0.0049742	0.013425                                                       
IFNG   	0.010862	0.016138	0.016956	0.016711	0.017209	0.016858	0.016399	0.016677	0.017107	0.016399	0.016855	0.016648	0.016676	0.018599	0.014267	0.0089594	0.016156	0.010862	0	0	0.0081027	0.017602	0.017157	0.01635	0.017484	0.017878	0.02399	0.017738	0.01849	0.018647	0.017237	0.017579	0.017579	0.017628	0.014386	0.018954	0.014099	0.017441	0.015296	0.016989	0.017243	0.014901	0.016877	0.016614	0.01744	0.016765	0.016876	0.016845	0.015393	0.015393	0	0.015405	0.017582	0.0034575	0.01438	0.016149	0.0122	0	0	0.017621	0.013004	0.016411	0.017268	0.01789	0.018588	0.012703	0.0064172	0.01561                                                            
IFNGR2 	0.0061889	0.010382	0.01399	0.013099	0.016565	0.013825	0.01109	0.012726	0.014203	0.01109	0.013776	0.012096	0.012308	0.017093	0.0085566	0.0048422	0.013644	0.0061889	0	0	0.005717	0.016922	0.016597	0.010812	0.016036	0.02399	0.17022	0.01852	0.023223	0.037477	0.01668	0.014847	0.014847	0.018539	0.010116	0.018415	0.0091654	0.016164	0.011069	0.015665	0.01499	0.010613	0.012683	0.015072	0.016304	0.014709	0.012122	0.013585	0.010729	0.010729	0	0.010319	0.014474	0.0019301	0.008494	0.01129	0.0092048	0	0	0.014774	0.0081196	0.013816	0.017546	0.019221	0.018146	0.0089993	0.0032008	0.012249                                                      
IL10   	0.011355	0.015086	0.016554	0.015977	0.016849	0.016119	0.01503	0.016088	0.016604	0.01503	0.016193	0.01555	0.015674	0.019181	0.013461	0.008363	0.01622	0.011355	0	0	0.0080866	0.01788	0.017639	0.014906	0.018286	0.017738	0.01852	0.018041	0.01853	0.018113	0.017434	0.018179	0.018179	0.017963	0.015311	0.018432	0.01496	0.017632	0.015967	0.01729	0.017412	0.015667	0.01708	0.016688	0.017756	0.016982	0.017103	0.01705	0.015001	0.015001	0	0.016788	0.018122	0.0034042	0.016251	0.016871	0.013177	0	0	0.01835	0.014961	0.016165	0.017421	0.018068	0.019442	0.013259	0.0069063	0.015301                                                                
IL12A  	0.0083253	0.014519	0.016443	0.015707	0.016977	0.015805	0.01415	0.016804	0.016122	0.01415	0.015916	0.014846	0.015165	0.017804	0.012814	0.0076233	0.015684	0.0083253	0	0	0.0096681	0.018569	0.01806	0.013856	0.017609	0.01849	0.023223	0.01853	0.023541	0.020462	0.017842	0.019062	0.019062	0.019219	0.014852	0.020075	0.013774	0.018015	0.015171	0.017431	0.016936	0.014805	0.016322	0.017185	0.018354	0.016922	0.015627	0.016627	0.014634	0.014634	0	0.014494	0.018579	0.0046653	0.012372	0.017856	0.016525	0	0	0.019843	0.011879	0.016264	0.018689	0.019531	0.019649	0.012726	0.0060236	0.015165                                                      
IL12B  	0.0089711	0.013842	0.016606	0.016109	0.017165	0.016272	0.015154	0.016571	0.016535	0.015154	0.016304	0.015664	0.015826	0.017862	0.012451	0.008132	0.015613	0.0089711	0	0	0.0088992	0.017874	0.017445	0.014965	0.01702	0.018647	0.037477	0.018113	0.020462	0.021111	0.017552	0.018329	0.018329	0.018399	0.014769	0.019178	0.014077	0.017365	0.015299	0.017005	0.016866	0.014999	0.016172	0.016701	0.017819	0.016721	0.015809	0.016502	0.014237	0.014237	0	0.013879	0.018038	0.0041896	0.011975	0.01688	0.01455	0	0	0.018505	0.011712	0.01579	0.01797	0.01855	0.019177	0.012235	0.0057829	0.015186                                                        
IL13   	0.011082	0.013623	0.016795	0.016146	0.016688	0.016151	0.01529	0.016327	0.016269	0.01529	0.016306	0.015688	0.015817	0.017004	0.013131	0.012148	0.016238	0.011082	0	0	0.0087797	0.017001	0.017143	0.015097	0.015703	0.017237	0.01668	0.017434	0.017842	0.017552	0.018071	0.019687	0.019687	0.017756	0.020622	0.018966	0.020658	0.016934	0.020096	0.016929	0.017443	0.02052	0.017513	0.016635	0.018118	0.017812	0.018044	0.017897	0.014797	0.014797	0	0.012641	0.016861	0.0040868	0.010383	0.015403	0.012861	0	0	0.016697	0.013047	0.015788	0.01745	0.017312	0.01841	0.012357	0.0059616	0.016218                                                          
IL13RA1	0.0083736	0.012688	0.016646	0.015556	0.016373	0.015169	0.013406	0.017556	0.015156	0.013406	0.01562	0.014131	0.014626	0.016056	0.012965	0.0086101	0.015948	0.0083736	0	0	0.010619	0.017365	0.017906	0.012955	0.015486	0.017579	0.014847	0.018179	0.019062	0.018329	0.019687	0.042799	0.024484	0.017737	0.01435	0.019212	0.01436	0.01699	0.016158	0.017948	0.017244	0.015879	0.01705	0.018174	0.023299	0.017536	0.016182	0.017266	0.015057	0.015057	0	0.012766	0.015337	0.0051459	0.009531	0.014399	0.018441	0	0	0.015611	0.01071	0.016378	0.020476	0.017899	0.017822	0.013611	0.0065183	0.015901                                                        
IL13RA2	0.0083736	0.012688	0.016646	0.015556	0.016373	0.015169	0.013406	0.017556	0.015156	0.013406	0.01562	0.014131	0.014626	0.016056	0.012965	0.0086101	0.015948	0.0083736	0	0	0.010619	0.017365	0.017906	0.012955	0.015486	0.017579	0.014847	0.018179	0.019062	0.018329	0.019687	0.024484	0.042799	0.017737	0.01435	0.019212	0.01436	0.01699	0.016158	0.017948	0.017244	0.015879	0.01705	0.018174	0.023299	0.017536	0.016182	0.017266	0.015057	0.015057	0	0.012766	0.015337	0.0051459	0.009531	0.014399	0.018441	0	0	0.015611	0.01071	0.016378	0.020476	0.017899	0.017822	0.013611	0.0065183	0.015901                                                        
IL17A  	0.0087772	0.015586	0.01623	0.015414	0.016756	0.015575	0.014098	0.015579	0.016192	0.014098	0.01565	0.014789	0.014959	0.017415	0.012334	0.0080135	0.015553	0.0087772	0	0	0.0084209	0.018126	0.017302	0.013934	0.016935	0.017628	0.018539	0.017963	0.019219	0.018399	0.017756	0.017737	0.017737	0.019233	0.021029	0.018514	0.019651	0.017703	0.01911	0.016935	0.016812	0.019465	0.016278	0.0166	0.017508	0.01736	0.016256	0.017117	0.014082	0.014082	0	0.013952	0.021314	0.0038189	0.012273	0.022733	0.013136	0	0	0.022384	0.011672	0.015776	0.017429	0.018434	0.020944	0.012145	0.0057523	0.015009                                                       
IL17RB 	0.0057853	0.0087162	0.013776	0.010653	0.012582	0.010652	0.008228	0.010114	0.010952	0.008228	0.011669	0.0092142	0.0095117	0.011933	0.0063925	0.0054049	0.013678	0.0057853	0	0	0.0048785	0.013899	0.014855	0.0079019	0.011382	0.014386	0.010116	0.015311	0.014852	0.014769	0.020622	0.01435	0.01435	0.021029	0.088729	0.014118	0.082288	0.015521	0.061379	0.014482	0.015946	0.069698	0.015218	0.013668	0.015237	0.023999	0.017632	0.022263	0.008941	0.008941	0	0.0073155	0.013611	0.0015729	0.005265	0.011093	0.0068061	0	0	0.013983	0.0066131	0.01099	0.014607	0.014213	0.016612	0.0077435	0.0025514	0.012987                                           
IL18   	0.0086259	0.014141	0.016236	0.015243	0.016609	0.015374	0.013397	0.015769	0.015602	0.013397	0.015544	0.014159	0.014459	0.017673	0.013121	0.0082642	0.015987	0.0086259	0	0	0.010172	0.018348	0.018285	0.013061	0.017655	0.018954	0.018415	0.018432	0.020075	0.019178	0.018966	0.019212	0.019212	0.018514	0.014118	0.040056	0.013705	0.018112	0.015519	0.01759	0.017314	0.015151	0.016769	0.017793	0.018548	0.017093	0.016023	0.017065	0.015059	0.015059	0	0.014572	0.016937	0.004899	0.01214	0.016178	0.010791	0	0	0.018352	0.011541	0.016573	0.018032	0.020726	0.018955	0.012978	0.0061077	0.015539                                                     
IL1RL1 	0.0065155	0.0085004	0.014038	0.010858	0.012469	0.0108	0.0085872	0.010249	0.010943	0.0085872	0.011943	0.009476	0.0097653	0.01185	0.0066068	0.0063025	0.01412	0.0065155	0	0	0.0048965	0.013284	0.014719	0.0082545	0.010905	0.014099	0.0091654	0.01496	0.013774	0.014077	0.020658	0.01436	0.01436	0.019651	0.082288	0.013705	0.090638	0.015262	0.062561	0.014605	0.016561	0.070956	0.016527	0.013629	0.015289	0.024811	0.019296	0.023009	0.0091973	0.0091973	0	0.0070075	0.011696	0.0015892	0.0048723	0.0089033	0.0064599	0	0	0.011679	0.0068703	0.010974	0.014347	0.013495	0.015064	0.0079962	0.0027715	0.01345                                          
IL21   	0.0097599	0.036178	0.015626	0.01475	0.015842	0.014977	0.013284	0.014815	0.015315	0.013284	0.01506	0.013933	0.014135	0.018132	0.015239	0.0081332	0.016193	0.0097599	0	0	0.0086375	0.018231	0.016946	0.013038	0.01914	0.017441	0.016164	0.017632	0.018015	0.017365	0.016934	0.01699	0.01699	0.017703	0.015521	0.018112	0.015262	0.020462	0.016207	0.017673	0.017221	0.015739	0.016987	0.016554	0.017553	0.016951	0.017695	0.01744	0.016199	0.016199	0	0.01847	0.016679	0.0040157	0.018537	0.016049	0.010417	0	0	0.017968	0.011137	0.01911	0.016698	0.018279	0.017739	0.014229	0.008015	0.015236                                                          
