       	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	FCER1A 	FOXP3  	GATA3  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCR4   	0.0054693	0.032208	0.041717	0.028797	0.046959	0.019118	0.021287	0.031871	0.019118	0.02813	0.047997	0.047085	0.018668	0.0076722	0.0039749	0.01741	0.0092823	0	0.015088	0.015421	0.01368	0.019406	0.014436	0.017489	0.016561	0.01867	0.019126	0.017164	0.017164	0.015361	0.0059657	0.016784	0.0037603	0.014005	0.0061532	0.015208	0.016484	0.0061532	0.013728	0.018806	0.016966	0.015825	0.013728	0.019252	0.0099003	0.010206	0.010219	0.022644	0	0.010973	0.014914	0.010551	0.011667	0.0065323	0.013157	0.019585	0.015719	0.017342	0.0052286	0.0015754	0.010635                                               
CCR8   	0.0054693	0.032208	0.041717	0.028797	0.046959	0.019118	0.021287	0.031871	0.019118	0.02813	0.047085	0.047997	0.018668	0.0076722	0.0039749	0.01741	0.0092823	0	0.015088	0.015421	0.01368	0.019406	0.014436	0.017489	0.016561	0.01867	0.019126	0.017164	0.017164	0.015361	0.0059657	0.016784	0.0037603	0.014005	0.0061532	0.015208	0.016484	0.0061532	0.013728	0.018806	0.016966	0.015825	0.013728	0.019252	0.0099003	0.010206	0.010219	0.022644	0	0.010973	0.014914	0.010551	0.011667	0.0065323	0.013157	0.019585	0.015719	0.017342	0.0052286	0.0015754	0.010635                                               
CD40LG 	0.011816	0.016349	0.016369	0.018855	0.017234	0.0082479	0.01351	0.024611	0.0082479	0.015618	0.018668	0.018668	0.056412	0.0089788	0.003328	0.016101	0.0088929	0	0.018481	0.016597	0.052851	0.019786	0.017204	0.022775	0.018284	0.018753	0.016868	0.014909	0.014909	0.017827	0.007453	0.017714	0.0046955	0.021803	0.0067981	0.016836	0.015486	0.0067981	0.013236	0.015833	0.01679	0.014865	0.013236	0.016222	0.010696	0.010492	0.0074063	0.019062	0	0.095778	0.014518	0.0082496	0.017149	0.0083446	0.01484	0.016456	0.020855	0.018406	0.0070976	0.0026049	0.0091281                                             
CMA1   	0.00462	0.0102	0.0086971	0.011445	0.007831	0.0031582	0.0095649	0.010435	0.0031582	0.0091443	0.0076722	0.0076722	0.0089788	0.15623	0.0025579	0.023627	0.012614	0	0.018637	0.012699	0.0095314	0.015555	0.0089618	0.013595	0.013158	0.012575	0.013628	0.013292	0.013292	0.012036	0.0039952	0.013431	0.0022743	0.012344	0.0040181	0.01452	0.014249	0.0040181	0.013317	0.016594	0.019635	0.012173	0.013317	0.013508	0.11193	0.11034	0.0076919	0.0076848	0	0.004869	0.0044216	0.0049014	0.012701	0.0047932	0.065319	0.012772	0.016939	0.0096503	0.0048063	0.0014086	0.0078104                                      
CRLF2  	0.0020215	0.0066576	0.0056829	0.005871	0.0040087	0.0022977	0.0070596	0.0043147	0.0022977	0.0065594	0.0039749	0.0039749	0.003328	0.0025579	0.48339	0.0074907	0.0025956	0	0.0056763	0.007946	0.0035842	0.0063973	0.003302	0.0066279	0.0065973	0.0062803	0.0078839	0.0072945	0.0072945	0.006758	0.0042201	0.0069439	0.0036479	0.0061727	0.0066194	0.0077821	0.0091723	0.0066194	0.0088949	0.014813	0.00697	0.018858	0.0088949	0.0091098	0.0034107	0.0048993	0.0068134	0.0034461	0	0.001516	0.0017826	0.0025329	0.0039677	0.0028184	0.0046161	0.0073335	0.0062037	0.0044151	0.0022665	0.00060622	0.19493         
CSF2   	0.0098104	0.018162	0.01688	0.018224	0.016715	0.0092566	0.016176	0.017985	0.0092566	0.016088	0.01741	0.01741	0.016101	0.023627	0.0074907	0.022901	0.043463	0	0.017945	0.017247	0.015632	0.018312	0.015627	0.018103	0.017675	0.017625	0.01899	0.01843	0.01843	0.016858	0.010572	0.018407	0.0086752	0.016945	0.011329	0.018725	0.022434	0.011329	0.027953	0.018156	0.01886	0.018985	0.027953	0.020369	0.024682	0.02269	0.012098	0.016291	0	0.011994	0.012993	0.010049	0.016075	0.0101	0.021309	0.017506	0.017695	0.016777	0.01119	0.0056575	0.014372                                                            
CSF3R  	0.0036301	0.010498	0.0082204	0.013861	0.008014	0.0035069	0.0076136	0.013945	0.0035069	0.0092566	0.0092823	0.0092823	0.0088929	0.012614	0.0025956	0.043463	0.39971	0	0.01057	0.0101	0.0076128	0.01273	0.0071254	0.012874	0.0090568	0.010023	0.013913	0.0097655	0.0097655	0.0095154	0.0042065	0.010109	0.0030693	0.0098104	0.0053036	0.014927	0.019542	0.0053036	0.024856	0.012098	0.011667	0.01466	0.024856	0.017269	0.020062	0.012719	0.0052221	0.0088341	0	0.0045113	0.0050737	0.0037461	0.0070023	0.0037873	0.016073	0.010049	0.0099945	0.0092324	0.0056575	0.0019199	0.0074907                            
FCER1A 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FOXP3  	0.019678	0.017048	0.015608	0.017385	0.014911	0.0074293	0.016922	0.016629	0.0074293	0.015074	0.015088	0.015088	0.018481	0.018637	0.0056763	0.017945	0.01057	0	0.022809	0.020572	0.020553	0.019271	0.018138	0.019927	0.021102	0.019869	0.019141	0.01964	0.01964	0.021063	0.012444	0.020857	0.0091036	0.021396	0.011181	0.019367	0.01841	0.011181	0.016863	0.01854	0.01992	0.01749	0.016863	0.018927	0.018722	0.018908	0.011432	0.017494	0	0.016139	0.014534	0.014663	0.032849	0.018901	0.020393	0.019122	0.021947	0.018994	0.012667	0.0066492	0.012718                                                         
GATA3  	0.011414	0.017567	0.016143	0.017077	0.01513	0.0080819	0.018125	0.015992	0.0080819	0.015367	0.015421	0.015421	0.016597	0.012699	0.007946	0.017247	0.0101	0	0.020572	0.027768	0.017771	0.018282	0.016321	0.019307	0.019874	0.018999	0.019561	0.020633	0.020633	0.018387	0.011482	0.020397	0.0091758	0.018371	0.011475	0.018055	0.018395	0.011475	0.017578	0.018541	0.019593	0.017889	0.017578	0.018656	0.014	0.014438	0.013451	0.015489	0	0.013335	0.012256	0.016295	0.021867	0.072106	0.017199	0.019632	0.020155	0.017314	0.0089824	0.0037096	0.014593                                                        
ICOS   	0.025757	0.014441	0.012969	0.016384	0.012816	0.0055187	0.012781	0.020245	0.0055187	0.013238	0.01368	0.01368	0.052851	0.0095314	0.0035842	0.015632	0.0076128	0	0.020553	0.017771	0.058151	0.019351	0.015308	0.023182	0.019421	0.018712	0.016796	0.015233	0.015233	0.019054	0.0082563	0.018755	0.0051304	0.026667	0.0071931	0.017906	0.015528	0.0071931	0.01271	0.016083	0.017179	0.015001	0.01271	0.017064	0.010946	0.011082	0.0082868	0.01585	0	0.096695	0.011402	0.0086558	0.02164	0.010012	0.015636	0.016571	0.022879	0.017322	0.0080639	0.0030685	0.0095116                                               
IFNG   	0.010877	0.019045	0.019047	0.01943	0.019449	0.012004	0.018121	0.019365	0.012004	0.017692	0.019406	0.019406	0.019786	0.015555	0.0063973	0.018312	0.01273	0	0.019271	0.018282	0.019351	0.019911	0.027738	0.019389	0.022125	0.021552	0.019321	0.01963	0.01963	0.018558	0.010899	0.021254	0.0084168	0.018145	0.010597	0.018217	0.018819	0.010597	0.018309	0.018603	0.019442	0.017458	0.018309	0.018802	0.016481	0.016519	0.011833	0.019027	0	0.017821	0.017377	0.013061	0.019994	0.011466	0.018297	0.018978	0.019831	0.019387	0.010389	0.005111	0.013175                                                         
IFNGR2 	0.006023	0.01492	0.014641	0.019177	0.016032	0.006704	0.014198	0.016615	0.006704	0.014907	0.014436	0.014436	0.017204	0.0089618	0.003302	0.015627	0.0071254	0	0.018138	0.016321	0.015308	0.027738	0.17764	0.019913	0.031352	0.047454	0.017484	0.01603	0.01603	0.016769	0.006415	0.020463	0.0038941	0.015009	0.0060484	0.016605	0.016076	0.0060484	0.012401	0.017469	0.018086	0.014964	0.012401	0.014857	0.010416	0.010824	0.008331	0.014343	0	0.010578	0.010162	0.009749	0.015799	0.0070061	0.015852	0.018954	0.021282	0.017078	0.0062454	0.0020796	0.0093756                                                  
IL10   	0.012801	0.018129	0.017188	0.018734	0.016906	0.0088872	0.017333	0.018933	0.0088872	0.016265	0.017489	0.017489	0.022775	0.013595	0.0066279	0.018103	0.012874	0	0.019927	0.019307	0.023182	0.019389	0.019913	0.02	0.020629	0.020022	0.01935	0.020002	0.020002	0.019297	0.011883	0.020291	0.0092877	0.019436	0.011383	0.018588	0.018742	0.011383	0.018097	0.018336	0.019595	0.017581	0.018097	0.018893	0.014982	0.014995	0.011682	0.019791	0	0.024708	0.019147	0.014049	0.021535	0.016127	0.017686	0.018932	0.020194	0.020302	0.011205	0.0056741	0.01336                                                        
IL12A  	0.010749	0.018144	0.017335	0.019273	0.016908	0.0084046	0.018671	0.017502	0.0084046	0.016607	0.016561	0.016561	0.018284	0.013158	0.0065973	0.017675	0.0090568	0	0.021102	0.019874	0.019421	0.022125	0.031352	0.020629	0.047247	0.029115	0.019878	0.020324	0.020324	0.019453	0.0087725	0.023921	0.0057098	0.019455	0.0082026	0.018774	0.01838	0.0082026	0.015452	0.020675	0.02048	0.01729	0.015452	0.01869	0.014362	0.015469	0.015917	0.016122	0	0.013833	0.011704	0.012203	0.022627	0.011272	0.018675	0.020385	0.024244	0.018119	0.0080454	0.0029297	0.013903                                                 
IL12B  	0.010155	0.0189	0.018624	0.019842	0.018613	0.0096068	0.019011	0.018812	0.0096068	0.017308	0.01867	0.01867	0.018753	0.012575	0.0062803	0.017625	0.010023	0	0.019869	0.018999	0.018712	0.021552	0.047454	0.020022	0.029115	0.027249	0.019603	0.020304	0.020304	0.018665	0.0090317	0.021795	0.0062009	0.018252	0.0086277	0.018209	0.018195	0.0086277	0.015958	0.019344	0.020028	0.017078	0.015958	0.018463	0.013953	0.014533	0.013967	0.017745	0	0.014691	0.014044	0.015642	0.020396	0.011862	0.017663	0.020088	0.021323	0.018712	0.0082955	0.003214	0.013184                                                   
IL13   	0.010386	0.020188	0.01902	0.01936	0.018484	0.010172	0.019382	0.018668	0.010172	0.017518	0.019126	0.019126	0.016868	0.013628	0.0078839	0.01899	0.013913	0	0.019141	0.019561	0.016796	0.019321	0.017484	0.01935	0.019878	0.019603	0.020812	0.023878	0.023878	0.018361	0.010813	0.022279	0.0084878	0.018048	0.010979	0.018735	0.020193	0.010979	0.020289	0.019512	0.02126	0.018416	0.020289	0.020353	0.015284	0.015443	0.01433	0.018757	0	0.012369	0.017546	0.015461	0.018124	0.015689	0.017822	0.020183	0.019336	0.019595	0.0095032	0.0040384	0.014937                                                         
IL13RA1	0.0086889	0.020839	0.018841	0.018685	0.01669	0.0084234	0.022452	0.016593	0.0084234	0.017173	0.017164	0.017164	0.014909	0.013292	0.0072945	0.01843	0.0097655	0	0.01964	0.020633	0.015233	0.01963	0.01603	0.020002	0.020324	0.020304	0.023878	0.047813	0.029498	0.017561	0.0081894	0.02259	0.0057094	0.017791	0.0085047	0.019639	0.01984	0.0085047	0.017025	0.021722	0.027802	0.0183	0.017025	0.020692	0.014694	0.015891	0.017027	0.014883	0	0.0093981	0.011058	0.021446	0.016669	0.012429	0.018753	0.024125	0.019762	0.017706	0.0089488	0.0033839	0.015118                                                    
IL13RA2	0.0086889	0.020839	0.018841	0.018685	0.01669	0.0084234	0.022452	0.016593	0.0084234	0.017173	0.017164	0.017164	0.014909	0.013292	0.0072945	0.01843	0.0097655	0	0.01964	0.020633	0.015233	0.01963	0.01603	0.020002	0.020324	0.020304	0.023878	0.029498	0.047813	0.017561	0.0081894	0.02259	0.0057094	0.017791	0.0085047	0.019639	0.01984	0.0085047	0.017025	0.021722	0.027802	0.0183	0.017025	0.020692	0.014694	0.015891	0.017027	0.014883	0	0.0093981	0.011058	0.021446	0.016669	0.012429	0.018753	0.024125	0.019762	0.017706	0.0089488	0.0033839	0.015118                                                    
IL17A  	0.017734	0.01638	0.015125	0.017884	0.014776	0.0076777	0.015428	0.017625	0.0076777	0.014901	0.015361	0.015361	0.017827	0.012036	0.006758	0.016858	0.0095154	0	0.021063	0.018387	0.019054	0.018558	0.016769	0.019297	0.019453	0.018665	0.018361	0.017561	0.017561	0.022595	0.024587	0.01937	0.022641	0.019997	0.022073	0.017856	0.017591	0.022073	0.016498	0.017398	0.018005	0.018163	0.016498	0.017988	0.01332	0.013525	0.011588	0.024254	0	0.014972	0.02788	0.010575	0.030705	0.011858	0.016736	0.0176	0.020369	0.023618	0.008986	0.0038077	0.013218                                                         
IL17RB 	0.0058498	0.008007	0.0065765	0.0087087	0.006114	0.0032204	0.0071059	0.0079875	0.0032204	0.0083002	0.0059657	0.0059657	0.007453	0.0039952	0.0042201	0.010572	0.0042065	0	0.012444	0.011482	0.0082563	0.010899	0.006415	0.011883	0.0087725	0.0090317	0.010813	0.0081894	0.0081894	0.024587	0.12657	0.0091953	0.14486	0.011606	0.11917	0.011338	0.01229	0.11917	0.013134	0.010299	0.0092351	0.024852	0.013134	0.011824	0.0052311	0.0052325	0.0045205	0.01236	0	0.0045464	0.0095729	0.0040653	0.016239	0.0048759	0.0078877	0.0099335	0.011339	0.013002	0.0039095	0.0012003	0.010984                              
IL18   	0.010818	0.01925	0.017482	0.018766	0.016877	0.0085534	0.018768	0.017466	0.0085534	0.016726	0.016784	0.016784	0.017714	0.013431	0.0069439	0.018407	0.010109	0	0.020857	0.020397	0.018755	0.021254	0.020463	0.020291	0.023921	0.021795	0.022279	0.02259	0.02259	0.01937	0.0091953	0.043269	0.0062341	0.019477	0.0088725	0.019143	0.019622	0.0088725	0.017075	0.020782	0.021498	0.018024	0.017075	0.020175	0.014817	0.01572	0.016002	0.016485	0	0.01329	0.012842	0.012127	0.021836	0.012373	0.01875	0.020432	0.02309	0.018982	0.0083837	0.0030917	0.014467                                                      
IL1RL1 	0.0029297	0.0058165	0.0045068	0.0060723	0.0040674	0.0023167	0.005014	0.0053297	0.0023167	0.0065542	0.0037603	0.0037603	0.0046955	0.0022743	0.0036479	0.0086752	0.0030693	0	0.0091036	0.0091758	0.0051304	0.0084168	0.0038941	0.0092877	0.0057098	0.0062009	0.0084878	0.0057094	0.0057094	0.022641	0.14486	0.0062341	0.19583	0.008482	0.14565	0.0091299	0.010566	0.14565	0.012039	0.0081072	0.0066722	0.026204	0.012039	0.0098452	0.0033818	0.0032921	0.0028951	0.0080205	0	0.0022755	0.0045999	0.0026596	0.010236	0.003317	0.0053576	0.007641	0.0081626	0.0089803	0.0027098	0.00073108	0.010163              
IL21   	0.074748	0.016465	0.014304	0.016261	0.013551	0.0067304	0.015386	0.015987	0.0067304	0.01408	0.014005	0.014005	0.021803	0.012344	0.0061727	0.016945	0.0098104	0	0.021396	0.018371	0.026667	0.018145	0.015009	0.019436	0.019455	0.018252	0.018048	0.017791	0.017791	0.019997	0.011606	0.019477	0.008482	0.030064	0.010517	0.019618	0.01809	0.010517	0.016396	0.017825	0.018359	0.016824	0.016396	0.020274	0.013649	0.013973	0.012835	0.015879	0	0.025076	0.012507	0.010188	0.024396	0.011414	0.017043	0.017543	0.021065	0.017411	0.013173	0.0069772	0.01274                                                     
IL25   	0.0042458	0.0084416	0.0068967	0.0084844	0.0063748	0.0039836	0.0075982	0.0076595	0.0039836	0.008717	0.0061532	0.0061532	0.0067981	0.0040181	0.0066194	0.011329	0.0053036	0	0.011181	0.011475	0.0071931	0.010597	0.0060484	0.011383	0.0082026	0.0086277	0.010979	0.0085047	0.0085047	0.022073	0.11917	0.0088725	0.14565	0.010517	0.12723	0.011489	0.013629	0.1205	0.016156	0.010451	0.0092892	0.026178	0.016156	0.012567	0.0054931	0.0052981	0.0046885	0.0096114	0	0.0037775	0.0060139	0.0044474	0.011834	0.005467	0.0076515	0.0099839	0.010299	0.010756	0.0043306	0.0014858	0.013487                          
IL2RA  	0.017755	0.017111	0.015509	0.016908	0.014924	0.0080745	0.016422	0.016216	0.0080745	0.015056	0.015208	0.015208	0.016836	0.01452	0.0077821	0.018725	0.014927	0	0.019367	0.018055	0.017906	0.018217	0.016605	0.018588	0.018774	0.018209	0.018735	0.019639	0.019639	0.017856	0.011338	0.019143	0.0091299	0.019618	0.011489	0.021889	0.020241	0.011489	0.021208	0.01803	0.019541	0.017997	0.021208	0.019462	0.016006	0.015748	0.012985	0.015377	0	0.013911	0.012084	0.011367	0.019606	0.011632	0.017825	0.017966	0.018756	0.016879	0.039595	0.033229	0.014407                                                     
IL3    	0.011011	0.01879	0.016488	0.018068	0.015944	0.0088891	0.017011	0.017263	0.0088891	0.016284	0.016484	0.016484	0.015486	0.014249	0.0091723	0.022434	0.019542	0	0.01841	0.018395	0.015528	0.018819	0.016076	0.018742	0.01838	0.018195	0.020193	0.01984	0.01984	0.017591	0.01229	0.019622	0.010566	0.01809	0.013629	0.020241	0.025921	0.013629	0.035237	0.018962	0.019575	0.02127	0.035237	0.022503	0.016935	0.015794	0.013605	0.015393	0	0.010689	0.011606	0.010673	0.016377	0.010869	0.018016	0.018413	0.018134	0.016875	0.013488	0.007116	0.016747                                                            
IL33   	0.0042458	0.0084416	0.0068967	0.0084844	0.0063748	0.0039836	0.0075982	0.0076595	0.0039836	0.008717	0.0061532	0.0061532	0.0067981	0.0040181	0.0066194	0.011329	0.0053036	0	0.011181	0.011475	0.0071931	0.010597	0.0060484	0.011383	0.0082026	0.0086277	0.010979	0.0085047	0.0085047	0.022073	0.11917	0.0088725	0.14565	0.010517	0.1205	0.011489	0.013629	0.12723	0.016156	0.010451	0.0092892	0.026178	0.016156	0.012567	0.0054931	0.0052981	0.0046885	0.0096114	0	0.0037775	0.0060139	0.0044474	0.011834	0.005467	0.0076515	0.0099839	0.010299	0.010756	0.0043306	0.0014858	0.013487                          
IL3RA  	0.0073272	0.017075	0.0138	0.017024	0.013152	0.0071543	0.014185	0.016123	0.0071543	0.014984	0.013728	0.013728	0.013236	0.013317	0.0088949	0.027953	0.024856	0	0.016863	0.017578	0.01271	0.018309	0.012401	0.018097	0.015452	0.015958	0.020289	0.017025	0.017025	0.016498	0.013134	0.017075	0.012039	0.016396	0.016156	0.021208	0.035237	0.016156	0.065499	0.018362	0.01807	0.025964	0.058761	0.024704	0.017756	0.014726	0.0098767	0.013128	0	0.0076844	0.0086937	0.0080009	0.013194	0.0088035	0.017567	0.016874	0.016168	0.014985	0.010167	0.0039887	0.017731                                                 
IL4    	0.012835	0.019586	0.01921	0.018566	0.018657	0.012339	0.021787	0.017756	0.012339	0.017958	0.018806	0.018806	0.015833	0.016594	0.014813	0.018156	0.012098	0	0.01854	0.018541	0.016083	0.018603	0.017469	0.018336	0.020675	0.019344	0.019512	0.021722	0.021722	0.017398	0.010299	0.020782	0.0081072	0.017825	0.010451	0.01803	0.018962	0.010451	0.018362	0.019836	0.020052	0.017794	0.018362	0.019381	0.017243	0.018082	0.029439	0.015941	0	0.011573	0.012265	0.014156	0.017959	0.013451	0.018376	0.019457	0.018879	0.016842	0.0098428	0.0046777	0.019038                                                       
IL4R   	0.010448	0.019254	0.017792	0.01837	0.016654	0.0086627	0.019863	0.017171	0.0086627	0.016585	0.016966	0.016966	0.01679	0.019635	0.00697	0.01886	0.011667	0	0.01992	0.019593	0.017179	0.019442	0.018086	0.019595	0.02048	0.020028	0.02126	0.027802	0.027802	0.018005	0.0092351	0.021498	0.0066722	0.018359	0.0092892	0.019541	0.019575	0.0092892	0.01807	0.020052	0.023568	0.017901	0.01807	0.019869	0.019771	0.020219	0.014877	0.015989	0	0.012663	0.012669	0.017627	0.018622	0.012487	0.02077	0.021169	0.019867	0.017958	0.012796	0.0067371	0.014283                                                          
