       	ADAM33 	ALOX5  	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL5   	0.0085907	0.012727	0.0029165	0.014605	0.016053	0.01662	0.016355	0.016978	0.019064	0.017794	0.016828	0.019236	0.017362	0.017938	0.018242	0.015867	0.004894	0.0073416	0.011419	0.012904	0.015289	0.013321	0.010399	0.004894	0.0070541	0.015804	0.015312	0.018674	0.015326	0.015728	0.015039	0.015501	0.015556	0.015559	0.015217	0.014847	0.014847	0.015623	0.014898	0.015406	0.015472	0.015424	0.015441	0.015093	0.015422	0.015471	0.015236	0.01509	0.014882	0.015532	0.015284	0.015099	0.014954	0.013805	0.010399	0.014091	0.016226	0.0028787	0.013714	0.0030792	0.015986	0.0071653	0.004894	0.0089774	0.01575	0.014545	0.01528	0.015217	0.015542	0.015608	0.010396	0.0045509	0.015461                                                                    
CCL8   	0.0067691	0.011073	0.0019652	0.014197	0.017777	0.018817	0.017658	0.019705	0.029102	0.023421	0.019236	0.031379	0.021954	0.023695	0.025062	0.015603	0.0039191	0.0055977	0.0093167	0.013461	0.014814	0.012912	0.0081024	0.0039191	0.0058704	0.015585	0.014225	0.027344	0.014012	0.015655	0.012365	0.014924	0.014383	0.014837	0.014705	0.013221	0.013221	0.015036	0.012827	0.014673	0.013666	0.014719	0.014411	0.014453	0.01513	0.014121	0.01427	0.014746	0.01422	0.015897	0.01392	0.014539	0.013916	0.01262	0.0081024	0.011285	0.015744	0.0020364	0.010357	0.0018437	0.015106	0.0058621	0.0039191	0.0086819	0.013964	0.012819	0.015516	0.014992	0.014717	0.014495	0.0087613	0.0031793	0.01565                                                               
CCR3   	0.008285	0.012286	0.0028585	0.014359	0.016456	0.017146	0.016625	0.017622	0.021607	0.019404	0.017362	0.021954	0.018483	0.019336	0.019926	0.015723	0.0049688	0.0069008	0.010894	0.012779	0.015081	0.01236	0.0098253	0.0049688	0.007478	0.015661	0.015015	0.020754	0.014852	0.015648	0.014306	0.015275	0.015201	0.015332	0.015061	0.014614	0.014614	0.01539	0.014328	0.015171	0.014956	0.015165	0.015186	0.014913	0.01532	0.015109	0.015021	0.015022	0.014733	0.015601	0.015041	0.014933	0.014689	0.013468	0.0098253	0.013217	0.015914	0.0033658	0.012466	0.0027727	0.015508	0.0070656	0.0049688	0.0091327	0.015038	0.014411	0.01519	0.015175	0.015251	0.015182	0.010325	0.0046795	0.015444                                                                 
CCR4   	0.0077196	0.011668	0.0028261	0.014001	0.01689	0.017726	0.017037	0.018337	0.023312	0.020688	0.017938	0.023695	0.019336	0.020663	0.021146	0.015832	0.0048293	0.0066349	0.010005	0.012409	0.015017	0.011851	0.0087831	0.0048293	0.0066607	0.015855	0.014982	0.021945	0.014853	0.015793	0.014139	0.015344	0.015263	0.015418	0.015102	0.014408	0.014408	0.015465	0.013991	0.015171	0.014788	0.015166	0.015085	0.014845	0.015256	0.015001	0.014761	0.015029	0.014686	0.015726	0.014485	0.014845	0.01428	0.013055	0.0087831	0.012922	0.016106	0.0025697	0.012174	0.0025324	0.01566	0.0070832	0.0048293	0.0091657	0.015197	0.013938	0.015193	0.015314	0.015317	0.01519	0.0096625	0.0038569	0.015528                                                              
CCR8   	0.0075611	0.011568	0.0026503	0.013804	0.01712	0.017967	0.01717	0.01863	0.024543	0.021302	0.018242	0.025062	0.019926	0.021146	0.022071	0.015781	0.0049973	0.0065146	0.0098882	0.012219	0.014947	0.011639	0.0086675	0.0049973	0.0066216	0.015721	0.014797	0.023305	0.014593	0.015742	0.013612	0.015219	0.015004	0.015257	0.015028	0.014217	0.014217	0.01535	0.013918	0.01507	0.014587	0.015005	0.015075	0.014738	0.015223	0.014878	0.014664	0.014965	0.014593	0.015775	0.01445	0.014784	0.014174	0.012958	0.0086675	0.012432	0.016028	0.0025679	0.011581	0.0024642	0.015455	0.0068357	0.0049973	0.0093607	0.014687	0.013764	0.015154	0.015242	0.015124	0.015006	0.0094667	0.0037126	0.015501                                                               
CD40LG 	0.0091291	0.013722	0.0028697	0.015224	0.015238	0.015697	0.015789	0.015845	0.015648	0.015626	0.015867	0.015603	0.015723	0.015832	0.015781	0.016082	0.0039585	0.0074106	0.012709	0.013166	0.015559	0.014408	0.011883	0.0039585	0.007295	0.015836	0.015744	0.015683	0.016225	0.015704	0.015554	0.015787	0.015824	0.015687	0.015261	0.015107	0.015107	0.015707	0.014765	0.015647	0.016031	0.015714	0.015332	0.015485	0.015658	0.01575	0.015826	0.015229	0.015055	0.015372	0.016125	0.015329	0.015712	0.014509	0.011883	0.016382	0.016016	0.0030169	0.016845	0.0030925	0.015764	0.007126	0.0039585	0.0080677	0.015984	0.014996	0.015371	0.015159	0.015805	0.015861	0.012073	0.0063979	0.015415                                                                
CLC    	0.0014865	0.0028597	0.00033041	0.0035672	0.011587	0.0049823	0.0046725	0.005109	0.0044608	0.0043303	0.004894	0.0039191	0.0049688	0.0048293	0.0049973	0.0039585	0.2193	0.0012079	0.002046	0.0019784	0.0037277	0.0019261	0.001651	0.20099	0.0011268	0.0038452	0.0037681	0.0054132	0.003534	0.0042097	0.0024583	0.0038197	0.0033364	0.0038466	0.0041517	0.0030628	0.0030628	0.0041699	0.0041212	0.0039034	0.0038171	0.0038021	0.0052544	0.0037134	0.0038187	0.0040637	0.0036655	0.0039318	0.004144	0.0074014	0.0037654	0.0042577	0.0029617	0.0031253	0.001651	0.0023591	0.0036477	0.00030227	0.0020249	0.00032775	0.0043292	0.0012116	0.20099	0.13611	0.0031177	0.0036585	0.0036083	0.0041459	0.0037574	0.0033129	0.0017488	0.00047894	0.0038874             
CLCA1  	0.0041201	0.0054226	0.0011103	0.005929	0.0078454	0.0081913	0.0081758	0.0072056	0.0058022	0.0064398	0.0073416	0.0055977	0.0069008	0.0066349	0.0065146	0.0074106	0.0012079	0.25264	0.0045486	0.0051556	0.007846	0.0049058	0.0037874	0.0012079	0.0029068	0.0074792	0.0082168	0.0061087	0.0069505	0.0080683	0.0063284	0.0080768	0.0073985	0.0084156	0.018524	0.010566	0.010566	0.0081485	0.0068644	0.0083908	0.007607	0.0080924	0.0094385	0.0072671	0.007921	0.0094002	0.0071022	0.0078306	0.0084688	0.0075998	0.0068025	0.0080883	0.0066222	0.0062897	0.0037874	0.005833	0.00901	0.00098598	0.0052014	0.27814	0.0070885	0.0031967	0.0012079	0.0032716	0.0067653	0.0063268	0.0069785	0.0083309	0.0075552	0.0089316	0.004201	0.0014425	0.0082626              
CMA1   	0.0054538	0.049212	0.0013571	0.011221	0.011206	0.011198	0.011828	0.010991	0.009374	0.01011	0.011419	0.0093167	0.010894	0.010005	0.0098882	0.012709	0.002046	0.0045486	0.066888	0.0098171	0.01588	0.011585	0.076228	0.002046	0.0048378	0.011711	0.011226	0.0097489	0.010966	0.012303	0.0088146	0.012112	0.010945	0.011382	0.012197	0.010405	0.010405	0.012233	0.010342	0.015069	0.01165	0.012617	0.0121	0.01283	0.015046	0.012066	0.013833	0.012534	0.011777	0.013419	0.015179	0.017381	0.018054	0.034706	0.076228	0.0086605	0.0122	0.0016902	0.0077689	0.0015331	0.011064	0.0041218	0.002046	0.0053606	0.010486	0.010069	0.013845	0.011453	0.011836	0.015376	0.0075025	0.0027622	0.012886                                                                
CRLF2  	0.0062034	0.010699	0.0012947	0.017756	0.012563	0.014368	0.012995	0.014677	0.011435	0.011537	0.012904	0.013461	0.012779	0.012409	0.012219	0.013166	0.0019784	0.0051556	0.0098171	0.16886	0.015023	0.019355	0.0085413	0.0019784	0.0049735	0.013646	0.012098	0.011686	0.01219	0.013554	0.0098331	0.013272	0.01216	0.012539	0.013481	0.011341	0.011341	0.013284	0.010081	0.012571	0.011148	0.015234	0.011693	0.01423	0.015821	0.011789	0.013923	0.013207	0.013179	0.013558	0.013705	0.015003	0.015924	0.013398	0.0085413	0.009424	0.012934	0.0016779	0.0086558	0.0017597	0.014457	0.0042196	0.0019784	0.0055173	0.012901	0.010329	0.024483	0.012287	0.013567	0.01297	0.0081258	0.0029467	0.032183                                                            
CSF2   	0.0092998	0.015869	0.0028184	0.015553	0.014757	0.015141	0.015285	0.015222	0.014726	0.014839	0.015289	0.014814	0.015081	0.015017	0.014947	0.015559	0.0037277	0.007846	0.01588	0.015023	0.015944	0.021405	0.015784	0.0037277	0.0076092	0.015338	0.015048	0.01482	0.015087	0.015301	0.014556	0.015248	0.015169	0.015148	0.014992	0.014848	0.014848	0.015323	0.014498	0.015394	0.015337	0.015465	0.015049	0.015297	0.015785	0.015278	0.015992	0.014932	0.014844	0.015134	0.017163	0.015529	0.016485	0.015886	0.015784	0.014084	0.015704	0.0034606	0.013689	0.0036587	0.015586	0.0068865	0.0037277	0.0077268	0.015567	0.014478	0.015853	0.014727	0.015318	0.01576	0.011532	0.006002	0.015495                                                                  
CSF3R  	0.006364	0.013277	0.0013166	0.01705	0.012308	0.012634	0.013401	0.012652	0.01101	0.011197	0.013321	0.012912	0.01236	0.011851	0.011639	0.014408	0.0019261	0.0049058	0.011585	0.019355	0.021405	0.16013	0.010761	0.0019261	0.0048586	0.013735	0.012304	0.011419	0.012562	0.013904	0.010292	0.013954	0.012488	0.012776	0.013188	0.011248	0.011248	0.013795	0.010248	0.013601	0.011679	0.014522	0.011555	0.014949	0.015618	0.012047	0.015612	0.0131	0.013319	0.01348	0.016078	0.014674	0.017919	0.015007	0.010761	0.0097242	0.014537	0.0016166	0.0092667	0.0016361	0.014731	0.0042553	0.0019261	0.0054099	0.013002	0.010308	0.023698	0.012312	0.013739	0.014724	0.0084966	0.0031731	0.015807                                                                  
CYSLTR1	0.0042971	0.057699	0.00096888	0.010096	0.010197	0.010131	0.010885	0.0098728	0.0081598	0.0089572	0.010399	0.0081024	0.0098253	0.0087831	0.0086675	0.011883	0.001651	0.0037874	0.076228	0.0085413	0.015784	0.010761	0.097736	0.001651	0.0042334	0.010723	0.010206	0.0085571	0.0099176	0.011444	0.0075143	0.011247	0.0098272	0.010347	0.011337	0.0091232	0.0091232	0.01134	0.0089113	0.014873	0.010653	0.011746	0.010869	0.012046	0.014656	0.011049	0.013127	0.011831	0.01083	0.012866	0.013995	0.017353	0.018318	0.039475	0.090998	0.0075106	0.01126	0.0013774	0.0066229	0.0011369	0.0099202	0.0033552	0.001651	0.0047291	0.0092076	0.0089973	0.013325	0.0105	0.010877	0.015183	0.006535	0.0021631	0.012047                                                
EPX    	0.0014865	0.0028597	0.00033041	0.0035672	0.011587	0.0049823	0.0046725	0.005109	0.0044608	0.0043303	0.004894	0.0039191	0.0049688	0.0048293	0.0049973	0.0039585	0.20099	0.0012079	0.002046	0.0019784	0.0037277	0.0019261	0.001651	0.2193	0.0011268	0.0038452	0.0037681	0.0054132	0.003534	0.0042097	0.0024583	0.0038197	0.0033364	0.0038466	0.0041517	0.0030628	0.0030628	0.0041699	0.0041212	0.0039034	0.0038171	0.0038021	0.0052544	0.0037134	0.0038187	0.0040637	0.0036655	0.0039318	0.004144	0.0074014	0.0037654	0.0042577	0.0029617	0.0031253	0.001651	0.0023591	0.0036477	0.00030227	0.0020249	0.00032775	0.0043292	0.0012116	0.20099	0.13611	0.0031177	0.0036585	0.0036083	0.0041459	0.0037574	0.0033129	0.0017488	0.00047894	0.0038874             
FCER1A 	0.0038272	0.0055745	0.0010259	0.0058379	0.0074196	0.0077647	0.0077042	0.0070197	0.0061955	0.0077982	0.0070541	0.0058704	0.007478	0.0066607	0.0066216	0.007295	0.0011268	0.0029068	0.0048378	0.0049735	0.0076092	0.0048586	0.0042334	0.0011268	0.25026	0.0073973	0.0083206	0.0062015	0.007224	0.0077582	0.0064303	0.0078281	0.0081832	0.0080601	0.0078306	0.0093175	0.0093175	0.0077232	0.0055898	0.007881	0.0070959	0.0078374	0.0066636	0.0081285	0.0079526	0.0081633	0.0086962	0.015299	0.0080694	0.0074655	0.0065783	0.0076667	0.0085718	0.00703	0.0042334	0.0085774	0.0071223	0.27689	0.0061912	0.00098598	0.0081238	0.0029962	0.0011268	0.0031073	0.0069699	0.0096637	0.0071072	0.0079686	0.0080033	0.0070551	0.0085611	0.0041762	0.0077773          
FOXP3  	0.0093691	0.012921	0.0041238	0.015717	0.015258	0.015676	0.015761	0.015823	0.01562	0.015653	0.015804	0.015585	0.015661	0.015855	0.015721	0.015836	0.0038452	0.0074792	0.011711	0.013646	0.015338	0.013735	0.010723	0.0038452	0.0073973	0.016045	0.015874	0.015576	0.016181	0.015778	0.017274	0.015798	0.016296	0.015971	0.015283	0.015365	0.015365	0.01585	0.014925	0.015555	0.015991	0.015857	0.015261	0.01532	0.015397	0.015674	0.015411	0.015234	0.015083	0.01532	0.015204	0.01515	0.015171	0.013979	0.010723	0.016292	0.01611	0.0031207	0.016399	0.0031653	0.016501	0.0084845	0.0038452	0.0079582	0.017487	0.015493	0.015354	0.015335	0.016053	0.015845	0.011428	0.0057419	0.015374                                                                   
GATA3  	0.0090744	0.012617	0.004375	0.01465	0.014876	0.015241	0.015434	0.015242	0.014481	0.014961	0.015312	0.014225	0.015015	0.014982	0.014797	0.015744	0.0037681	0.0082168	0.011226	0.012098	0.015048	0.012304	0.010206	0.0037681	0.0083206	0.015874	0.017304	0.014566	0.017091	0.015598	0.015787	0.015953	0.015988	0.015752	0.015296	0.015616	0.015616	0.015833	0.015154	0.015746	0.017917	0.015604	0.015446	0.015121	0.01511	0.016436	0.015187	0.015489	0.014983	0.015366	0.01482	0.014936	0.014779	0.013632	0.010206	0.02064	0.015606	0.0039157	0.02011	0.0039156	0.015648	0.008747	0.0037681	0.007818	0.016265	0.022249	0.014834	0.01534	0.016038	0.015528	0.011129	0.0053222	0.014939                                                                      
GPR44  	0.0072836	0.011434	0.0022621	0.013829	0.017449	0.018249	0.017328	0.018988	0.026404	0.021921	0.018674	0.027344	0.020754	0.021945	0.023305	0.015683	0.0054132	0.0061087	0.0097489	0.011686	0.01482	0.011419	0.0085571	0.0054132	0.0062015	0.015576	0.014566	0.025542	0.014318	0.015656	0.012946	0.015049	0.014657	0.015018	0.014868	0.013709	0.013709	0.01521	0.014005	0.014904	0.014342	0.014817	0.015069	0.014552	0.015129	0.014682	0.014439	0.014827	0.014388	0.01585	0.014324	0.014665	0.01394	0.012806	0.0085571	0.011955	0.015884	0.0022699	0.011081	0.0021907	0.015255	0.0062751	0.0054132	0.0097491	0.014286	0.013602	0.015115	0.015073	0.014892	0.014741	0.0090795	0.0034241	0.015375                                                             
ICOS   	0.0084302	0.012364	0.0029431	0.015343	0.014708	0.015104	0.015425	0.015173	0.014173	0.014638	0.015326	0.014012	0.014852	0.014853	0.014593	0.016225	0.003534	0.0069505	0.010966	0.01219	0.015087	0.012562	0.0099176	0.003534	0.007224	0.016181	0.017091	0.014318	0.019898	0.01573	0.015878	0.016753	0.016165	0.015816	0.015085	0.01479	0.01479	0.015858	0.014535	0.015534	0.01611	0.015933	0.014781	0.01522	0.015109	0.015487	0.01508	0.015346	0.014797	0.015151	0.014755	0.014835	0.014714	0.013507	0.0099176	0.027621	0.015627	0.0029388	0.032785	0.0027769	0.015688	0.0071719	0.003534	0.0075421	0.016724	0.015612	0.014943	0.01514	0.016353	0.015692	0.010798	0.0048573	0.014901                                                                       
IFNG   	0.010519	0.013304	0.003857	0.015192	0.015194	0.015615	0.015676	0.015744	0.015684	0.01564	0.015728	0.015655	0.015648	0.015793	0.015742	0.015704	0.0042097	0.0080683	0.012303	0.013554	0.015301	0.013904	0.011444	0.0042097	0.0077582	0.015778	0.015598	0.015656	0.01573	0.015704	0.018586	0.015613	0.016306	0.015973	0.01523	0.015471	0.015471	0.015637	0.014884	0.015457	0.01579	0.015562	0.015285	0.015223	0.015375	0.015587	0.015442	0.015139	0.015129	0.015242	0.015466	0.015144	0.015258	0.014178	0.011444	0.015416	0.015916	0.0035308	0.01529	0.0037777	0.015871	0.0081612	0.0042097	0.0081939	0.01617	0.015188	0.015236	0.015237	0.015758	0.015697	0.011419	0.0058347	0.015284                                                                     
IFNGR2 	0.0083511	0.010605	0.0029508	0.012505	0.014465	0.015	0.015756	0.015014	0.012646	0.013752	0.015039	0.012365	0.014306	0.014139	0.013612	0.015554	0.0024583	0.0063284	0.0088146	0.0098331	0.014556	0.010292	0.0075143	0.0024583	0.0064303	0.017274	0.015787	0.012946	0.015878	0.018586	0.080755	0.01673	0.028375	0.023823	0.015276	0.014856	0.014856	0.016308	0.012471	0.015434	0.014541	0.015412	0.013419	0.014951	0.014477	0.014493	0.01414	0.015199	0.015432	0.014685	0.013007	0.014427	0.013295	0.012199	0.0075143	0.013509	0.015656	0.0023717	0.013138	0.0022781	0.014727	0.0075793	0.0024583	0.0064759	0.015939	0.013235	0.01432	0.016412	0.017663	0.015853	0.0094113	0.0035804	0.014099                                                              
IL10   	0.01086	0.013177	0.0040332	0.01504	0.01497	0.015373	0.015516	0.015455	0.015002	0.015193	0.015501	0.014924	0.015275	0.015344	0.015219	0.015787	0.0038197	0.0080768	0.012112	0.013272	0.015248	0.013954	0.011247	0.0038197	0.0078281	0.015798	0.015953	0.015049	0.016753	0.015613	0.01673	0.015878	0.016038	0.015772	0.015197	0.015536	0.015536	0.015643	0.014777	0.015472	0.015967	0.015602	0.015155	0.015232	0.015288	0.015608	0.0154	0.015185	0.015123	0.015169	0.015234	0.015058	0.015179	0.014072	0.011247	0.018323	0.015784	0.003581	0.020157	0.0037975	0.015745	0.0083394	0.0038197	0.0078447	0.016193	0.015484	0.015145	0.015205	0.01584	0.015688	0.011574	0.0060129	0.015155                                                                      
