       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL24  	0.013491	0.01368	0.011202	0.0065332	0.01043	0.012638	0.012612	0.012564	0.0125	0.012716	0.013244	0.01298	0.012662	0.013583	0.012856	0.012899	0.012921	0.012563	0.0098187	0.013347	0.013118	0.011614	0.010199	0.012541	0.012585	0.012621	0.010299	0.013116	0.010086	0.012623	0.012587	0.013188	0.012568	0.012582	0.012569	0.012481	0.012616	0.012712	0.012538	0.012727	0.012662	0.012508	0.012485	0.012525	0.01251	0.012614	0.012634	0.012623	0.012606	0.010368	0.01262	0.012507	0.012539	0.012622	0.012478	0.012702	0.012547	0.012124	0.011946	0.0095372	0.012604	0.011956	0.010449	0.011598	0.012396	0.0086932	0.013347	0.01252	0.013259	0.0098488	0.013082	0.012967	0.012641	0.012423	0.0086932	0.012521	0.012576	0.01261	0.012509	0.01253	0.012409	0.012601                                                                          
CCL26  	0.012245	0.011681	0.011336	0.0067246	0.010735	0.012879	0.012588	0.012701	0.012624	0.012858	0.01298	0.013501	0.012653	0.013818	0.012884	0.013062	0.013004	0.012727	0.01015	0.011303	0.011892	0.011857	0.010441	0.012821	0.012565	0.012868	0.010441	0.012159	0.010866	0.012796	0.012797	0.012729	0.012796	0.01274	0.012811	0.012637	0.012788	0.01267	0.01266	0.013093	0.012853	0.012662	0.012618	0.012664	0.012763	0.012773	0.012795	0.012729	0.012649	0.010735	0.012778	0.01269	0.012688	0.012758	0.012539	0.01283	0.012632	0.01231	0.012087	0.0097229	0.012843	0.012122	0.010745	0.012244	0.01273	0.0087806	0.011303	0.012723	0.011553	0.010166	0.011956	0.012154	0.012863	0.012737	0.0087806	0.012697	0.012682	0.012793	0.012665	0.012804	0.012737	0.012767                                                                           
CCL5   	0.012097	0.011799	0.011977	0.0092034	0.010484	0.012622	0.012548	0.012482	0.012457	0.012604	0.012662	0.012653	0.012558	0.012859	0.012607	0.012638	0.012623	0.012555	0.0098975	0.012941	0.012814	0.012278	0.011596	0.012748	0.012552	0.012702	0.011574	0.012779	0.0098783	0.012571	0.012552	0.01247	0.01258	0.012552	0.012605	0.012463	0.012559	0.012483	0.012458	0.012589	0.012613	0.01251	0.012599	0.012522	0.012634	0.012568	0.012609	0.01258	0.012576	0.011146	0.012592	0.012575	0.012476	0.012505	0.01239	0.012641	0.012543	0.012428	0.012299	0.011188	0.012552	0.012264	0.010532	0.011431	0.012619	0.0083574	0.012941	0.012623	0.012906	0.0098798	0.0128	0.012742	0.012654	0.012365	0.0083574	0.012529	0.012443	0.01256	0.012529	0.012637	0.012626	0.012588                                                                        
CCL8   	0.011581	0.010962	0.010931	0.0060803	0.010474	0.012993	0.012736	0.013006	0.012815	0.013292	0.013583	0.013818	0.012859	0.022404	0.013671	0.014262	0.014127	0.012781	0.0096315	0.010751	0.011592	0.011503	0.0098303	0.013499	0.012643	0.012969	0.0098945	0.012083	0.0088055	0.012939	0.012703	0.01299	0.012736	0.012804	0.0124	0.012646	0.012755	0.012585	0.012677	0.012824	0.012805	0.01277	0.012218	0.01265	0.012374	0.012805	0.012711	0.012783	0.012741	0.012174	0.01275	0.012702	0.012708	0.012751	0.01257	0.013038	0.012688	0.012227	0.011993	0.0090198	0.012682	0.012054	0.010509	0.010925	0.012397	0.0073062	0.010751	0.012806	0.011098	0.0098875	0.011698	0.011974	0.012766	0.012049	0.0073062	0.013268	0.013018	0.012814	0.012662	0.012624	0.012391	0.012905                                                                    
CCR3   	0.012606	0.012398	0.011567	0.0072142	0.010657	0.012705	0.012574	0.012586	0.012519	0.012724	0.012856	0.012884	0.012607	0.013671	0.012763	0.012839	0.012826	0.012605	0.010083	0.012531	0.012596	0.011958	0.010876	0.012918	0.012566	0.012857	0.010893	0.012656	0.010135	0.01265	0.012618	0.012738	0.012634	0.012611	0.012637	0.012518	0.012631	0.012606	0.012531	0.012758	0.012687	0.012553	0.012585	0.012556	0.0126	0.012638	0.012663	0.012637	0.012612	0.010928	0.012644	0.012614	0.012546	0.012614	0.012445	0.012748	0.01257	0.01232	0.012137	0.010298	0.012628	0.012087	0.010705	0.011661	0.012593	0.0084414	0.012531	0.012623	0.012572	0.010102	0.012599	0.012608	0.012706	0.012428	0.0084414	0.012614	0.012557	0.012636	0.012552	0.01266	0.012604	0.012662                                                                         
CCR4   	0.011826	0.011315	0.011534	0.0073399	0.010655	0.012861	0.012594	0.012703	0.01261	0.012866	0.012899	0.013062	0.012638	0.014262	0.012839	0.013024	0.012962	0.012715	0.010027	0.011506	0.011991	0.011966	0.010758	0.013266	0.012563	0.012775	0.01079	0.012225	0.010013	0.012777	0.012756	0.012577	0.01279	0.012715	0.012753	0.012613	0.012741	0.01259	0.012594	0.012825	0.012791	0.012679	0.012807	0.012647	0.012812	0.012743	0.012787	0.012702	0.012635	0.011437	0.012762	0.012666	0.012624	0.012645	0.012509	0.012775	0.012621	0.012342	0.012163	0.010149	0.012784	0.012183	0.010746	0.011581	0.012844	0.0085748	0.011506	0.012791	0.011718	0.010055	0.012055	0.012217	0.012872	0.012624	0.0085748	0.012746	0.012638	0.012755	0.012646	0.012834	0.012843	0.012796                                                                       
CCR8   	0.012819	0.012717	0.011566	0.0071682	0.010544	0.012784	0.012579	0.012652	0.012567	0.012817	0.012921	0.013004	0.012623	0.014127	0.012826	0.012962	0.01294	0.012657	0.0099094	0.011733	0.012115	0.011964	0.010843	0.01322	0.01255	0.012812	0.010872	0.012319	0.0099696	0.012717	0.012676	0.012869	0.012701	0.01266	0.012657	0.012558	0.012686	0.01268	0.012552	0.012748	0.01273	0.012619	0.012635	0.0126	0.012657	0.012691	0.01271	0.01266	0.012612	0.011375	0.012692	0.012638	0.012584	0.012652	0.012475	0.012763	0.012588	0.012336	0.012154	0.010262	0.01269	0.012122	0.010627	0.011547	0.012681	0.0085227	0.011733	0.012707	0.011907	0.0099416	0.01217	0.012293	0.012791	0.01248	0.0085227	0.012702	0.0126	0.012699	0.012592	0.012726	0.012693	0.012735                                                                               
CD40LG 	0.011617	0.011012	0.01168	0.0091862	0.010705	0.013034	0.012496	0.012598	0.012555	0.012731	0.012563	0.012727	0.012555	0.012781	0.012605	0.012715	0.012657	0.012805	0.010066	0.011226	0.011785	0.012203	0.011124	0.012941	0.012528	0.012881	0.011014	0.011997	0.010147	0.012815	0.012803	0.012307	0.013015	0.01274	0.01286	0.012665	0.012758	0.012569	0.012559	0.012823	0.012774	0.012673	0.012582	0.012651	0.012861	0.012763	0.012738	0.012722	0.012614	0.011478	0.012733	0.012763	0.012624	0.012622	0.012453	0.012725	0.012606	0.012439	0.01224	0.010504	0.012866	0.012365	0.010692	0.011661	0.013669	0.0083307	0.011226	0.012784	0.011474	0.010084	0.01185	0.012064	0.012926	0.012748	0.0083307	0.012677	0.012559	0.012791	0.012661	0.013302	0.013731	0.012798                                                                        
CHIA   	0.007168	0.0064434	0.0071367	0.0041468	0.066191	0.0097016	0.0096093	0.013152	0.012448	0.010276	0.0098187	0.01015	0.0098975	0.0096315	0.010083	0.010027	0.0099094	0.010066	0.086445	0.0064576	0.0082907	0.0076139	0.0057226	0.0093678	0.0096519	0.0083983	0.0058992	0.008053	0.005916	0.010139	0.0099116	0.0091166	0.0097949	0.010059	0.010225	0.012222	0.01033	0.0099496	0.012197	0.010391	0.010092	0.0098622	0.0080876	0.010091	0.0087176	0.0099043	0.0095166	0.0098497	0.0095819	0.0063018	0.0098685	0.0088847	0.0097322	0.0097179	0.0095223	0.0090783	0.0099496	0.0083373	0.0085805	0.0051071	0.0095774	0.0093885	0.066123	0.0082626	0.0090195	0.0041419	0.0064576	0.0092606	0.006894	0.079933	0.007712	0.0081698	0.0092621	0.0080884	0.0041419	0.0094411	0.013718	0.010071	0.0099851	0.0089554	0.0085749	0.01003                   
CLC    	0.0084092	0.0075692	0.0098114	0.0045317	0.0072558	0.010542	0.013085	0.011363	0.011359	0.011409	0.013347	0.011303	0.012941	0.010751	0.012531	0.011506	0.011733	0.011226	0.0064576	0.041278	0.029635	0.009742	0.0080561	0.0097053	0.013395	0.011385	0.0086356	0.025284	0.0064142	0.011014	0.010697	0.011189	0.010585	0.011211	0.0099643	0.011058	0.010855	0.010707	0.011723	0.010426	0.011184	0.011103	0.010723	0.011212	0.010179	0.011175	0.011277	0.012079	0.012784	0.0073645	0.011339	0.011284	0.011362	0.011166	0.012006	0.011991	0.012165	0.010829	0.010835	0.0074562	0.010487	0.010585	0.0072614	0.0086532	0.0095413	0.0062737	0.040366	0.010634	0.035893	0.0064219	0.028092	0.024043	0.010259	0.0095914	0.0062737	0.011081	0.011594	0.010839	0.011288	0.010313	0.0096497	0.011255                                                 
CLCA1  	0.0096224	0.0088625	0.010491	0.0055427	0.0089175	0.011419	0.012888	0.011855	0.011833	0.011913	0.013118	0.011892	0.012814	0.011592	0.012596	0.011991	0.012115	0.011785	0.0082907	0.029635	0.023059	0.010672	0.0091739	0.010834	0.013085	0.011943	0.0094907	0.020348	0.0078161	0.011667	0.011473	0.01165	0.011411	0.011779	0.011092	0.011663	0.01158	0.011414	0.012071	0.011421	0.011815	0.011685	0.011465	0.01176	0.011166	0.011767	0.011852	0.012318	0.012732	0.0086957	0.011879	0.011817	0.011835	0.011731	0.012175	0.012291	0.012349	0.01144	0.011358	0.0085269	0.011352	0.011199	0.0088971	0.0098607	0.010758	0.0068851	0.029635	0.011424	0.026857	0.0082696	0.022052	0.019583	0.011237	0.010705	0.0068851	0.011671	0.011995	0.011563	0.011812	0.011253	0.01082	0.011814                                                            
CMA1   	0.009787	0.0088348	0.017314	0.013964	0.0084494	0.011803	0.012484	0.011893	0.012276	0.01199	0.011614	0.011857	0.012278	0.011503	0.011958	0.011966	0.011964	0.012203	0.0076139	0.009742	0.010672	0.021557	0.026715	0.011374	0.012481	0.01255	0.022072	0.011073	0.0093882	0.012017	0.011843	0.01128	0.011868	0.012203	0.011479	0.012024	0.011905	0.011692	0.011936	0.011794	0.012213	0.01207	0.01143	0.012344	0.011541	0.012061	0.012088	0.012189	0.012566	0.0098936	0.012068	0.013093	0.012334	0.012195	0.011935	0.012371	0.012827	0.016388	0.015742	0.024376	0.011729	0.01372	0.0085683	0.010805	0.011554	0.0063724	0.009742	0.012574	0.0102	0.007529	0.010882	0.011262	0.011898	0.011221	0.0063724	0.012402	0.011707	0.011952	0.012658	0.012015	0.011646	0.012048                                                                      
CPA3   	0.0079301	0.00689	0.029902	0.0078761	0.0065773	0.010242	0.012528	0.010792	0.011568	0.01082	0.010199	0.010441	0.011596	0.0098303	0.010876	0.010758	0.010843	0.011124	0.0057226	0.0080561	0.0091739	0.026715	0.049114	0.0095922	0.012213	0.01156	0.044351	0.0098537	0.0068658	0.010756	0.0104	0.0099644	0.010368	0.011234	0.0096368	0.010912	0.010579	0.01041	0.010814	0.010088	0.010972	0.010969	0.010082	0.01199	0.0099904	0.01089	0.010928	0.01115	0.012113	0.0080997	0.010979	0.013	0.011503	0.011242	0.011239	0.011481	0.012468	0.019784	0.020813	0.053332	0.010137	0.013168	0.0067973	0.008725	0.0095729	0.0052752	0.0080561	0.01127	0.0086829	0.0056265	0.0096591	0.010127	0.010211	0.0092786	0.0052752	0.011693	0.010466	0.010646	0.012107	0.010464	0.0096943	0.010867                                                           
CRLF2  	0.010135	0.0092208	0.01067	0.0058574	0.010066	0.01294	0.012602	0.014499	0.012804	0.015332	0.012541	0.012821	0.012748	0.013499	0.012918	0.013266	0.01322	0.012941	0.0093678	0.0097053	0.010834	0.011374	0.0095922	0.036552	0.012581	0.012921	0.0095778	0.011329	0.0083711	0.012971	0.012534	0.011991	0.012725	0.012794	0.012068	0.012561	0.01258	0.012274	0.012606	0.012312	0.012742	0.01278	0.012149	0.012562	0.012312	0.012843	0.012989	0.012728	0.012733	0.012669	0.013093	0.012701	0.01265	0.012521	0.012467	0.012874	0.012771	0.012197	0.011909	0.0087072	0.012424	0.01196	0.010842	0.010518	0.012571	0.0069199	0.0097053	0.01277	0.010188	0.0093863	0.011017	0.011445	0.012602	0.011598	0.0069199	0.013906	0.012658	0.012704	0.012573	0.012752	0.013267	0.015174                                                                  
CSF2   	0.011595	0.011071	0.012431	0.0085273	0.010268	0.012577	0.01257	0.012428	0.012423	0.012545	0.012585	0.012565	0.012552	0.012643	0.012566	0.012563	0.01255	0.012528	0.0096519	0.013395	0.013085	0.012481	0.012213	0.012581	0.012595	0.012923	0.012229	0.012976	0.0098364	0.012524	0.012501	0.012265	0.012532	0.01252	0.012514	0.012423	0.012504	0.012374	0.012426	0.012539	0.012581	0.012479	0.012501	0.012515	0.012588	0.012533	0.012569	0.01258	0.012613	0.011326	0.012562	0.012638	0.012454	0.012479	0.012376	0.012692	0.012558	0.012569	0.01247	0.01204	0.012492	0.012216	0.010292	0.011413	0.012554	0.0082076	0.013395	0.012564	0.013303	0.0096334	0.013051	0.012932	0.012576	0.012284	0.0082076	0.012529	0.01239	0.012512	0.012519	0.012607	0.012571	0.012549                                                                       
CSF3R  	0.011582	0.010496	0.011885	0.0066541	0.0092885	0.012939	0.012696	0.012619	0.012623	0.012794	0.012621	0.012868	0.012702	0.012969	0.012857	0.012775	0.012812	0.012881	0.0083983	0.011385	0.011943	0.01255	0.01156	0.012921	0.012923	0.017416	0.011239	0.012258	0.0096266	0.012804	0.012692	0.01231	0.01278	0.012785	0.012463	0.012657	0.012705	0.012559	0.012617	0.012884	0.012927	0.012734	0.012247	0.012693	0.012444	0.012844	0.012766	0.013036	0.013177	0.012399	0.012768	0.013795	0.012708	0.013087	0.012535	0.014123	0.012863	0.013113	0.012577	0.010702	0.012617	0.012287	0.0092974	0.01174	0.012681	0.007403	0.011385	0.012814	0.011718	0.0083561	0.012069	0.012328	0.012771	0.012041	0.007403	0.013197	0.012534	0.012793	0.012812	0.013069	0.012743	0.012863                                                                     
CYSLTR1	0.0080842	0.0071971	0.033822	0.006457	0.0067171	0.01021	0.012751	0.010784	0.011507	0.010824	0.010299	0.010441	0.011574	0.0098945	0.010893	0.01079	0.010872	0.011014	0.0058992	0.0086356	0.0094907	0.022072	0.044351	0.0095778	0.012229	0.011239	0.04905	0.010163	0.0064504	0.01069	0.01038	0.010094	0.010305	0.011168	0.0096592	0.010828	0.010581	0.010419	0.010766	0.0099532	0.010853	0.010934	0.010691	0.012228	0.010287	0.010838	0.010974	0.011035	0.011938	0.0078949	0.011045	0.012572	0.011304	0.011061	0.011346	0.011369	0.012146	0.017785	0.020659	0.056123	0.010121	0.012457	0.0069532	0.0084154	0.0094721	0.0057873	0.0086356	0.011103	0.0091788	0.0058211	0.010044	0.010366	0.010186	0.0093021	0.0057873	0.01149	0.010465	0.010612	0.011955	0.010277	0.009548	0.010805                                                       
EPX    	0.010365	0.0097396	0.010985	0.0059306	0.0087997	0.011738	0.012844	0.012021	0.012	0.012127	0.013116	0.012159	0.012779	0.012083	0.012656	0.012225	0.012319	0.011997	0.008053	0.025284	0.020348	0.011073	0.0098537	0.011329	0.012976	0.012258	0.010163	0.018417	0.0081345	0.011916	0.011764	0.011964	0.011714	0.011991	0.011397	0.011857	0.011834	0.011708	0.012164	0.011663	0.012036	0.011916	0.011917	0.011978	0.011558	0.011991	0.012089	0.012408	0.012725	0.0092217	0.012088	0.012058	0.012017	0.011956	0.01229	0.012451	0.012418	0.011727	0.011645	0.0093407	0.011675	0.01144	0.0088262	0.010134	0.011184	0.0079366	0.025284	0.011749	0.023224	0.0080341	0.019659	0.017821	0.011606	0.011166	0.0079366	0.011924	0.012101	0.011832	0.012015	0.011603	0.011245	0.012033                                                                
FCER1A 	0.0084108	0.0069766	0.0074508	0.0037613	0.0062184	0.0093026	0.0097809	0.0098872	0.009898	0.0099475	0.010086	0.010866	0.0098783	0.0088055	0.010135	0.010013	0.0099696	0.010147	0.005916	0.0064142	0.0078161	0.0093882	0.0068658	0.0083711	0.0098364	0.0096266	0.0064504	0.0081345	0.18789	0.010158	0.010395	0.009561	0.010073	0.010192	0.0094311	0.010069	0.010272	0.010068	0.012028	0.011526	0.010841	0.0099184	0.0083213	0.010023	0.0088552	0.010307	0.010271	0.010338	0.0099851	0.0064841	0.01021	0.01029	0.015211	0.013085	0.00972	0.0097946	0.010142	0.010013	0.0092426	0.0057309	0.010289	0.0092155	0.0061741	0.080262	0.0091552	0.0041946	0.0064142	0.0098762	0.0068796	0.0054065	0.0077349	0.0086933	0.0095088	0.010385	0.0041946	0.0099637	0.0099677	0.010355	0.010189	0.010154	0.010072	0.010112                              
