       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
CCL26  	0.012192	0.012143	0.0072352	0.0032535	0.014074	0.013963	0.014298	0.014147	0.014418	0.015017	0.015929	0.014081	0.016415	0.014514	0.014792	0.015019	0.013943	0.011899	0.010166	0.012532	0.010775	0.014199	0.013793	0.013268	0.01109	0.013568	0.010255	0.0141	0.013981	0.014262	0.01387	0.013956	0.013614	0.013884	0.014006	0.013993	0.013987	0.014175	0.014057	0.013969	0.013266	0.013891	0.013934	0.013991	0.013943	0.013935	0.013865	0.014021	0.013648	0.013868	0.013738	0.013911	0.01409	0.01372	0.01298	0.012933	0.0098608	0.014051	0.013297	0.0032535	0.011441	0.012809	0.0096916	0.0049315	0.013961	0.0063235	0.013282	0.013624	0.014	0.013586	0.013961	0.013896	0.014018	0.01389	0.013829	0.013688	0.014039                                                                         
CCL5   	0.012982	0.013071	0.010125	0.0024047	0.013927	0.013824	0.01395	0.013897	0.014016	0.014081	0.014081	0.013862	0.014504	0.013969	0.014043	0.014109	0.013843	0.013411	0.010224	0.013358	0.012589	0.014238	0.013789	0.013832	0.012587	0.013868	0.010023	0.013885	0.013787	0.013873	0.013826	0.013821	0.013821	0.013796	0.013864	0.013837	0.013731	0.013816	0.013838	0.013837	0.013382	0.013801	0.013931	0.013869	0.013815	0.01383	0.013826	0.013902	0.01378	0.013692	0.013632	0.013727	0.013921	0.013646	0.013542	0.013423	0.011904	0.013878	0.013535	0.0024047	0.011301	0.013402	0.0092223	0.0052344	0.013973	0.0053782	0.013822	0.013835	0.014022	0.013271	0.013872	0.013573	0.013864	0.013819	0.013881	0.013841	0.013909                                                                   
CCL8   	0.011445	0.011409	0.0061721	0.0017318	0.013836	0.014303	0.015012	0.014562	0.015375	0.016415	0.016415	0.014504	0.039204	0.016443	0.017478	0.01833	0.013742	0.0109	0.0085733	0.011918	0.010051	0.015251	0.013774	0.01379	0.010317	0.013517	0.0081155	0.014199	0.013407	0.015003	0.013282	0.013884	0.012486	0.013644	0.013558	0.013674	0.013872	0.01319	0.013459	0.013832	0.011859	0.013585	0.012849	0.013747	0.013405	0.013768	0.013962	0.013455	0.013618	0.013742	0.013422	0.013915	0.014396	0.013535	0.012819	0.012681	0.0088381	0.013279	0.013017	0.0017318	0.0096561	0.01157	0.0077179	0.0032434	0.01396	0.0046787	0.012778	0.013367	0.013508	0.011916	0.015073	0.013751	0.013715	0.013707	0.012975	0.012651	0.014034                                                                  
CCR3   	0.013543	0.012525	0.0078517	0.0027878	0.013932	0.013959	0.014119	0.013988	0.01422	0.014514	0.014514	0.013969	0.016443	0.014304	0.01442	0.014602	0.013834	0.01433	0.009942	0.012802	0.011474	0.01443	0.013824	0.013778	0.01177	0.014372	0.0099539	0.013932	0.013784	0.014213	0.013748	0.013835	0.013596	0.01378	0.013847	0.013848	0.013786	0.013876	0.01387	0.013841	0.01316	0.013776	0.013776	0.013871	0.013805	0.013868	0.013857	0.013877	0.013732	0.013726	0.013702	0.013806	0.014061	0.013636	0.013214	0.013119	0.010721	0.013838	0.013279	0.0027878	0.011273	0.012972	0.009335	0.0048058	0.013917	0.005752	0.014304	0.014125	0.013917	0.013232	0.013961	0.013665	0.013863	0.013791	0.013735	0.013632	0.01395                                                                         
CCR4   	0.011718	0.012437	0.0079922	0.0023977	0.014081	0.01394	0.014278	0.014122	0.014409	0.014792	0.014792	0.014043	0.017478	0.01442	0.014694	0.014853	0.013961	0.012152	0.009724	0.012765	0.011249	0.01481	0.013819	0.01357	0.011591	0.013585	0.010061	0.014098	0.013929	0.014	0.013938	0.013963	0.013851	0.013906	0.014013	0.013979	0.013891	0.013941	0.013943	0.013984	0.01348	0.013887	0.013975	0.014009	0.013947	0.01393	0.013893	0.014014	0.013732	0.013826	0.013664	0.013869	0.014066	0.013702	0.013177	0.013105	0.010488	0.014025	0.013398	0.0023977	0.011284	0.013275	0.0093826	0.0044018	0.014112	0.0054388	0.013362	0.013648	0.014194	0.013424	0.014092	0.013765	0.014021	0.013897	0.013959	0.013884	0.014104                                                                        
CCR8   	0.014452	0.012345	0.0075874	0.0024077	0.014	0.014027	0.014351	0.014146	0.014505	0.015019	0.015019	0.014109	0.01833	0.014602	0.014853	0.015157	0.013906	0.012468	0.0095761	0.012558	0.010883	0.01491	0.013816	0.013465	0.011519	0.01379	0.0094289	0.014063	0.013849	0.014667	0.013793	0.013919	0.013524	0.01384	0.013917	0.013923	0.013886	0.013874	0.013911	0.013929	0.013139	0.013837	0.013778	0.013941	0.013866	0.013905	0.013881	0.013932	0.013688	0.013794	0.013776	0.013883	0.014111	0.013672	0.013041	0.013021	0.010321	0.013889	0.013309	0.0024077	0.010864	0.012785	0.0094658	0.0042276	0.014029	0.0054583	0.013549	0.013752	0.014008	0.013176	0.014097	0.013781	0.013945	0.013855	0.013766	0.013644	0.014077                                                                    
CD40LG 	0.011305	0.012568	0.010229	0.0028137	0.014411	0.013689	0.013953	0.013941	0.013989	0.013943	0.013943	0.013843	0.013742	0.013834	0.013961	0.013906	0.014179	0.011718	0.009787	0.013213	0.012118	0.014064	0.013783	0.014081	0.011667	0.013171	0.010143	0.01411	0.013964	0.013478	0.014448	0.01397	0.014137	0.01399	0.014078	0.013989	0.013787	0.013933	0.013968	0.013975	0.013369	0.013894	0.014065	0.014079	0.013884	0.013999	0.013878	0.014005	0.013874	0.013813	0.013627	0.013741	0.013937	0.013695	0.013464	0.013238	0.010804	0.01427	0.01363	0.0028137	0.011398	0.014491	0.0090665	0.0045449	0.014067	0.0057869	0.013024	0.013441	0.014312	0.013416	0.013942	0.013703	0.014107	0.013903	0.015204	0.015592	0.014104                                                                     
CLC    	0.0077221	0.010533	0.0043678	0.0010184	0.010814	0.016294	0.012447	0.012373	0.012336	0.011899	0.011899	0.013411	0.0109	0.01433	0.012152	0.012468	0.011718	0.1079	0.0064513	0.0094469	0.0074821	0.01007	0.014844	0.011473	0.0098242	0.044254	0.0059325	0.011424	0.011017	0.012258	0.010647	0.011695	0.0093724	0.011555	0.01104	0.011493	0.011873	0.010332	0.011089	0.011725	0.0099512	0.011721	0.010605	0.011576	0.01178	0.012967	0.013274	0.011679	0.011878	0.01198	0.011523	0.013732	0.012601	0.011787	0.010748	0.011049	0.0076269	0.010364	0.010942	0.0010184	0.0073076	0.0083946	0.0072634	0.0020885	0.011405	0.0032708	0.049999	0.033786	0.010246	0.0098367	0.011612	0.011536	0.011133	0.011851	0.010206	0.0096625	0.011715                                                           
CLCA1  	0.0068667	0.0081477	0.0047781	0.0012405	0.009481	0.0099926	0.010031	0.010079	0.009714	0.010166	0.010166	0.010224	0.0085733	0.009942	0.009724	0.0095761	0.009787	0.0064513	0.12234	0.009849	0.0077039	0.0089678	0.010066	0.0088839	0.0071302	0.0084756	0.0056416	0.010066	0.010006	0.0091364	0.0095029	0.010175	0.0090034	0.010232	0.0097716	0.010132	0.014138	0.010636	0.0115	0.010214	0.0089036	0.010415	0.0095031	0.010425	0.010966	0.010451	0.010267	0.010438	0.0095612	0.0099543	0.010253	0.0098811	0.010601	0.015298	0.0091698	0.0094411	0.0062535	0.0095814	0.0097455	0.0012405	0.0069655	0.0082643	0.0048576	0.19242	0.0094457	0.0033292	0.0082219	0.0090512	0.0094843	0.008292	0.0099813	0.010086	0.010068	0.010192	0.0090972	0.0088784	0.010505                                 
CMA1   	0.0091464	0.015092	0.014474	0.0015297	0.012722	0.012979	0.012895	0.013211	0.012816	0.012532	0.012532	0.013358	0.011918	0.012802	0.012765	0.012558	0.013213	0.0094469	0.009849	0.027361	0.043464	0.012228	0.013691	0.014048	0.015717	0.011719	0.0095739	0.012967	0.012654	0.012146	0.012564	0.013155	0.011966	0.013096	0.012747	0.012867	0.012998	0.012579	0.013059	0.013055	0.01123	0.013167	0.012236	0.01307	0.012758	0.013236	0.014017	0.012856	0.015015	0.013488	0.012845	0.01291	0.013369	0.013893	0.022536	0.017958	0.016376	0.012581	0.01492	0.0015297	0.010572	0.011232	0.006754	0.0048745	0.013464	0.0041594	0.011511	0.01242	0.012716	0.01167	0.013884	0.012584	0.012871	0.013868	0.012535	0.01235	0.013052                                                                     
CPA3   	0.0069865	0.016987	0.008147	0.00095531	0.011104	0.011911	0.011548	0.012068	0.011349	0.010775	0.010775	0.012589	0.010051	0.011474	0.011249	0.010883	0.012118	0.0074821	0.0077039	0.043464	0.097144	0.010439	0.013468	0.013931	0.018755	0.010126	0.0072641	0.011621	0.011052	0.010517	0.010822	0.01212	0.0097499	0.011954	0.011158	0.011446	0.011789	0.010775	0.011643	0.011808	0.0089435	0.012105	0.010178	0.011847	0.011268	0.012283	0.014158	0.011361	0.01644	0.013038	0.011727	0.011891	0.012442	0.013848	0.035215	0.024244	0.020576	0.010766	0.01476	0.00095531	0.0084122	0.0089211	0.005312	0.0028232	0.011984	0.0031266	0.0099025	0.011216	0.010687	0.0095865	0.013862	0.011222	0.011408	0.013503	0.010622	0.010306	0.01186                                                         
CRLF2  	0.0097812	0.011545	0.0062908	0.0016584	0.014111	0.013998	0.01668	0.014364	0.017497	0.014199	0.014199	0.014238	0.015251	0.01443	0.01481	0.01491	0.014064	0.01007	0.0089678	0.012228	0.010439	0.039078	0.013905	0.014229	0.010318	0.012664	0.0083408	0.014156	0.013506	0.013463	0.013667	0.013952	0.012634	0.013745	0.013657	0.013714	0.013918	0.013233	0.013568	0.013983	0.012575	0.013754	0.0133	0.014124	0.014232	0.013893	0.014084	0.014271	0.013841	0.013818	0.013389	0.013834	0.014132	0.013783	0.013115	0.012837	0.0089798	0.013502	0.013112	0.0016584	0.0098293	0.01189	0.0076114	0.0035628	0.014026	0.0045434	0.012289	0.013087	0.013721	0.011999	0.015344	0.013595	0.013866	0.013775	0.0137	0.014573	0.016893                                                                    
CSF2   	0.011682	0.013671	0.0093221	0.0025184	0.013859	0.013824	0.01381	0.013798	0.013842	0.013793	0.013793	0.013789	0.013774	0.013824	0.013819	0.013816	0.013783	0.014844	0.010066	0.013691	0.013468	0.013905	0.013863	0.014866	0.01344	0.014346	0.010058	0.013777	0.01368	0.013476	0.013709	0.013742	0.013714	0.013721	0.013762	0.013747	0.01364	0.013684	0.013745	0.013756	0.013275	0.013776	0.01388	0.013803	0.013741	0.013808	0.013893	0.013849	0.013987	0.013637	0.013526	0.01369	0.013912	0.01362	0.013876	0.013725	0.01311	0.013752	0.013425	0.0025184	0.011363	0.013181	0.0090739	0.0050786	0.013851	0.0054202	0.014459	0.014153	0.013875	0.013118	0.013872	0.013465	0.01377	0.013786	0.013771	0.013722	0.013822                                                                        
CSF3R  	0.010044	0.012947	0.006782	0.0015866	0.014121	0.013644	0.013796	0.01386	0.013705	0.013268	0.013268	0.013832	0.01379	0.013778	0.01357	0.013465	0.014081	0.011473	0.0088839	0.014048	0.013931	0.014229	0.014866	0.037795	0.01189	0.013247	0.0085247	0.013737	0.013315	0.012877	0.013341	0.013735	0.012634	0.013776	0.013473	0.013635	0.013607	0.013169	0.013657	0.013704	0.011765	0.013688	0.012931	0.013954	0.013372	0.014314	0.015609	0.013632	0.018019	0.013681	0.013769	0.013646	0.01483	0.013841	0.015684	0.014264	0.011178	0.013264	0.013302	0.0015866	0.010262	0.011824	0.0074427	0.0035436	0.013838	0.0043935	0.013137	0.013752	0.01342	0.011815	0.015614	0.013324	0.013691	0.014047	0.013337	0.013089	0.014059                                                                    
CYSLTR1	0.0078477	0.043619	0.0051165	0.0011428	0.010925	0.014345	0.011778	0.01203	0.011671	0.01109	0.01109	0.012587	0.010317	0.01177	0.011591	0.011519	0.011667	0.0098242	0.0071302	0.015717	0.018755	0.010318	0.01344	0.01189	0.06814	0.01183	0.0062609	0.011384	0.011015	0.011285	0.010716	0.011925	0.0097835	0.011595	0.011055	0.011341	0.011645	0.010519	0.011092	0.011693	0.0097814	0.013769	0.011132	0.011606	0.011534	0.011729	0.012809	0.011713	0.013432	0.011861	0.011378	0.012518	0.011872	0.012442	0.015343	0.023902	0.077509	0.010592	0.011535	0.0011428	0.0075965	0.0089676	0.0064127	0.0026173	0.011533	0.0033844	0.011848	0.012	0.010641	0.0095812	0.012352	0.011264	0.011313	0.012899	0.010142	0.0098319	0.011557                                                                
EPX    	0.010547	0.012338	0.0063793	0.001756	0.012892	0.014953	0.013593	0.013515	0.013605	0.013568	0.013568	0.013868	0.013517	0.014372	0.013585	0.01379	0.013171	0.044254	0.0084756	0.011719	0.010126	0.012664	0.014346	0.013247	0.01183	0.025457	0.0080652	0.013105	0.012884	0.013469	0.01267	0.013148	0.012015	0.013065	0.012916	0.013091	0.01319	0.012578	0.012945	0.013195	0.012343	0.013192	0.012816	0.013152	0.013275	0.013645	0.013785	0.013266	0.013242	0.013168	0.012949	0.013917	0.013698	0.013083	0.012494	0.012626	0.010338	0.012629	0.012541	0.001756	0.0095456	0.011132	0.0094598	0.0034303	0.013143	0.0045047	0.027331	0.021083	0.012654	0.012127	0.013183	0.012963	0.012968	0.01324	0.012454	0.012151	0.01324                                                                    
FCER1A 	0.0095189	0.0073683	0.0035799	0.00098049	0.0090787	0.01002	0.010041	0.010104	0.0099973	0.010255	0.010255	0.010023	0.0081155	0.0099539	0.010061	0.0094289	0.010143	0.0059325	0.0056416	0.0095739	0.0072641	0.0083408	0.010058	0.0085247	0.0062609	0.0080652	0.20124	0.010196	0.010777	0.010069	0.0095845	0.010269	0.0086186	0.010286	0.010196	0.010632	0.01036	0.012012	0.011564	0.010025	0.0075821	0.0099982	0.0088456	0.010114	0.010016	0.01065	0.010098	0.010106	0.010651	0.016564	0.016282	0.0099194	0.010281	0.010302	0.0098514	0.0092886	0.0053022	0.010429	0.0090851	0.00098049	0.11376	0.0075645	0.0041957	0.0018993	0.010002	0.0029847	0.0077702	0.0093852	0.0090611	0.010878	0.010185	0.010294	0.010166	0.010118	0.01046	0.010407	0.010106                                      
FOXP3  	0.011494	0.012382	0.0082741	0.0028533	0.014316	0.013734	0.014021	0.014003	0.014076	0.0141	0.0141	0.013885	0.014199	0.013932	0.014098	0.014063	0.01411	0.011424	0.010066	0.012967	0.011621	0.014156	0.013777	0.013737	0.011384	0.013105	0.010196	0.01417	0.014093	0.013597	0.014369	0.014045	0.014691	0.014054	0.014238	0.014117	0.013857	0.014047	0.01404	0.014046	0.013569	0.013938	0.014209	0.014138	0.013956	0.014	0.013867	0.014066	0.013789	0.01384	0.013691	0.013795	0.013969	0.013731	0.013283	0.01312	0.010402	0.014377	0.013481	0.0028533	0.01147	0.01453	0.0091572	0.004906	0.014232	0.005852	0.012918	0.013392	0.014684	0.013847	0.013963	0.013771	0.014195	0.013927	0.014763	0.014797	0.014084                                                                               
GATA3  	0.012025	0.012211	0.0077532	0.0030462	0.014224	0.013623	0.013869	0.013901	0.013895	0.013981	0.013981	0.013787	0.013407	0.013784	0.013929	0.013849	0.013964	0.011017	0.010006	0.012654	0.011052	0.013506	0.01368	0.013315	0.011015	0.012884	0.010777	0.014093	0.01487	0.013589	0.014208	0.013988	0.014359	0.014007	0.014189	0.014073	0.01385	0.014176	0.01403	0.014065	0.013679	0.014033	0.015648	0.014095	0.013998	0.013906	0.013741	0.014379	0.013634	0.013921	0.013765	0.013901	0.013858	0.013669	0.013011	0.012923	0.0099906	0.014685	0.013301	0.0030462	0.012047	0.014119	0.0094105	0.0048603	0.013975	0.0060435	0.012692	0.013235	0.014384	0.019545	0.013794	0.013779	0.01422	0.013851	0.014178	0.014104	0.013947                                                                   
GPR44  	0.038294	0.011994	0.0069824	0.0030344	0.013493	0.013864	0.013813	0.01369	0.013892	0.014262	0.014262	0.013873	0.015003	0.014213	0.014	0.014667	0.013478	0.012258	0.0091364	0.012146	0.010517	0.013463	0.013476	0.012877	0.011285	0.013469	0.010069	0.013597	0.013589	0.01842	0.013312	0.013554	0.012997	0.013493	0.01349	0.013628	0.013543	0.013953	0.013833	0.013493	0.01261	0.013439	0.01329	0.013486	0.013419	0.013612	0.013486	0.013454	0.013402	0.013548	0.014955	0.013584	0.013884	0.013367	0.012611	0.012651	0.010062	0.013476	0.012838	0.0030344	0.011763	0.012193	0.0091776	0.0039301	0.013462	0.005992	0.013267	0.013446	0.013366	0.012944	0.013543	0.013627	0.013512	0.013416	0.013211	0.013027	0.013504                                                                       
ICOS   	0.010717	0.011961	0.0078669	0.0029872	0.014484	0.013582	0.013944	0.013976	0.013961	0.01387	0.01387	0.013826	0.013282	0.013748	0.013938	0.013793	0.014448	0.010647	0.0095029	0.012564	0.010822	0.013667	0.013709	0.013341	0.010716	0.01267	0.0095845	0.014369	0.014208	0.013312	0.015573	0.014288	0.014698	0.014416	0.014371	0.014194	0.013842	0.014049	0.014065	0.014116	0.013333	0.013977	0.014126	0.014288	0.01389	0.014124	0.013822	0.014023	0.013681	0.013876	0.013634	0.013758	0.013842	0.013702	0.012959	0.012864	0.0096498	0.014973	0.013447	0.0029872	0.010968	0.020676	0.0088552	0.0041832	0.01404	0.0060047	0.012449	0.013136	0.014642	0.01353	0.013885	0.013868	0.014402	0.01395	0.016308	0.016981	0.01419                                                                    
